year,concern_type,unit,value
2012,Child abuse and family violence ,Number,5149
2013,Child abuse and family violence ,Number,4498
2014,Child abuse and family violence ,Number,4681
2015,Child abuse and family violence ,Number,4920
2016,Child abuse and family violence ,Number,5231
2017,Child abuse and family violence ,Number,4986
2018,Child abuse and family violence ,Number,4722
2019,Child abuse and family violence ,Number,5005
2020,Child abuse and family violence ,Number,6573
2021,Child abuse and family violence ,Number,7508
2022,Child abuse and family violence ,Number,5795
2023,Child abuse and family violence ,Number,4579
2024,Child abuse and family violence ,Number,5144
2012,Sexual violence and harassment,Number,1398
2013,Sexual violence and harassment,Number,1425
2014,Sexual violence and harassment,Number,1330
2015,Sexual violence and harassment,Number,1068
2016,Sexual violence and harassment,Number,1246
2017,Sexual violence and harassment,Number,1293
2018,Sexual violence and harassment,Number,1199
2019,Sexual violence and harassment,Number,1380
2020,Sexual violence and harassment,Number,1509
2021,Sexual violence and harassment,Number,2071
2022,Sexual violence and harassment,Number,2121
2023,Sexual violence and harassment,Number,1523
2024,Sexual violence and harassment,Number,1577
2012,Family relationship issues,Number,13450
2013,Family relationship issues,Number,12042
2014,Family relationship issues,Number,11482
2015,Family relationship issues,Number,11792
2016,Family relationship issues,Number,11088
2017,Family relationship issues,Number,10743
2018,Family relationship issues,Number,10725
2019,Family relationship issues,Number,11774
2020,Family relationship issues,Number,15625
2021,Family relationship issues,Number,15721
2022,Family relationship issues,Number,12203
2023,Family relationship issues,Number,10868
2024,Family relationship issues,Number,12322
2012,Dating and partner abuse,Number,429
2013,Dating and partner abuse,Number,425
2014,Dating and partner abuse,Number,427
2015,Dating and partner abuse,Number,517
2016,Dating and partner abuse,Number,509
2017,Dating and partner abuse,Number,455
2018,Dating and partner abuse,Number,355
2019,Dating and partner abuse,Number,428
2020,Dating and partner abuse,Number,518
2021,Dating and partner abuse,Number,441
2022,Dating and partner abuse,Number,328
2023,Dating and partner abuse,Number,285
2024,Dating and partner abuse,Number,302
2012,Sexual offending,Number,64
2013,Sexual offending,Number,58
2014,Sexual offending,Number,78
2015,Sexual offending,Number,53
2016,Sexual offending,Number,33
2017,Sexual offending,Number,45
2018,Sexual offending,Number,43
2019,Sexual offending,Number,41
2020,Sexual offending,Number,70
2021,Sexual offending,Number,93
2022,Sexual offending,Number,58
2023,Sexual offending,Number,36
2024,Sexual offending,Number,54
