concerns,year,unit,value
Suicide Attempt,2016,Number,652
Suicide Attempt,2017,Number,801
Suicide Attempt,2018,Number,567
Suicide Attempt,2019,Number,813
Suicide Attempt,2020,Number,1042
Suicide Attempt,2021,Number,1927
Suicide Attempt,2022,Number,1871
Suicide Attempt,2023,Number,1706
Suicide Attempt,2024,Number,1803
Total crisis interventions,2012,Number,725
Total crisis interventions,2013,Number,1506
Total crisis interventions,2014,Number,1612
Total crisis interventions,2015,Number,1720
Total crisis interventions,2016,Number,1907
Total crisis interventions,2017,Number,2150
Total crisis interventions,2018,Number,1483
Total crisis interventions,2019,Number,1876
Total crisis interventions,2020,Number,2783
Total crisis interventions,2021,Number,5823
Total crisis interventions,2022,Number,5026
Total crisis interventions,2023,Number,3893
Total crisis interventions,2024,Number,4632
Assault,2012,Proportion,1.0
Assault,2013,Proportion,0.4
Assault,2014,Proportion,0.6
Assault,2015,Proportion,0.3
Assault,2016,Proportion,0.7
Assault,2017,Proportion,0.6
Assault,2018,Proportion,0.1
Assault,2019,Proportion,0.3
Assault,2020,Proportion,1.0
Assault,2021,Proportion,0.9
Assault,2022,Proportion,1.2
Assault,2023,Proportion,0.5
Assault,2024,Proportion,0.9
Child Abuse,2012,Proportion,26.2
Child Abuse,2013,Proportion,26.6
Child Abuse,2014,Proportion,36.5
Child Abuse,2015,Proportion,38.9
Child Abuse,2016,Proportion,38.3
Child Abuse,2017,Proportion,35.7
Child Abuse,2018,Proportion,37.0
Child Abuse,2019,Proportion,32.1
Child Abuse,2020,Proportion,35.1
Child Abuse,2021,Proportion,37.1
Child Abuse,2022,Proportion,30.7
Child Abuse,2023,Proportion,26.6
Child Abuse,2024,Proportion,30.0
Child Exploitation,2012,Proportion,1.5
Child Exploitation,2013,Proportion,0.9
Child Exploitation,2014,Proportion,1.0
Child Exploitation,2015,Proportion,0.6
Child Exploitation,2016,Proportion,0.7
Child Exploitation,2017,Proportion,1.3
Child Exploitation,2018,Proportion,0.8
Child Exploitation,2019,Proportion,1.2
Child Exploitation,2020,Proportion,0.6
Child Exploitation,2021,Proportion,1.7
Child Exploitation,2022,Proportion,1.5
Child Exploitation,2023,Proportion,1.7
Child Exploitation,2024,Proportion,1.6
Domestic Violence,2012,Proportion,1.2
Domestic Violence,2013,Proportion,1.1
Domestic Violence,2014,Proportion,2.1
Domestic Violence,2015,Proportion,2.6
Domestic Violence,2016,Proportion,2.0
Domestic Violence,2017,Proportion,2.5
Domestic Violence,2018,Proportion,2.2
Domestic Violence,2019,Proportion,1.3
Domestic Violence,2020,Proportion,2.9
Domestic Violence,2021,Proportion,2.8
Domestic Violence,2022,Proportion,2.1
Domestic Violence,2023,Proportion,2.0
Domestic Violence,2024,Proportion,2.0
Drug Overdose,2012,Proportion,11.2
Drug Overdose,2013,Proportion,9.5
Drug Overdose,2014,Proportion,8.2
Drug Overdose,2015,Proportion,4.8
Drug Overdose,2016,Proportion,5.6
Drug Overdose,2017,Proportion,5.2
Drug Overdose,2018,Proportion,6.1
Drug Overdose,2019,Proportion,4.5
Drug Overdose,2020,Proportion,5.0
Drug Overdose,2021,Proportion,2.7
Drug Overdose,2022,Proportion,2.7
Drug Overdose,2023,Proportion,2.4
Drug Overdose,2024,Proportion,1.9
Harm To Others,2012,Proportion,3.0
Harm To Others,2013,Proportion,3.7
Harm To Others,2014,Proportion,2.1
Harm To Others,2015,Proportion,5.5
Harm To Others,2016,Proportion,4.6
Harm To Others,2017,Proportion,4.0
Harm To Others,2018,Proportion,3.4
Harm To Others,2019,Proportion,3.3
Harm To Others,2020,Proportion,4.2
Harm To Others,2021,Proportion,2.2
Harm To Others,2022,Proportion,2.0
Harm To Others,2023,Proportion,1.9
Harm To Others,2024,Proportion,2.3
Homelessness,2012,Proportion,3.7
Homelessness,2013,Proportion,3.0
Homelessness,2014,Proportion,2.9
Homelessness,2015,Proportion,3.5
Homelessness,2016,Proportion,2.7
Homelessness,2017,Proportion,2.4
Homelessness,2018,Proportion,2.2
Homelessness,2019,Proportion,2.0
Homelessness,2020,Proportion,2.0
Homelessness,2021,Proportion,1.8
Homelessness,2022,Proportion,2.0
Homelessness,2023,Proportion,1.6
Homelessness,2024,Proportion,2.5
Mental Illness Escalation,2012,Proportion,10.5
Mental Illness Escalation,2013,Proportion,8.8
Mental Illness Escalation,2014,Proportion,6.9
Mental Illness Escalation,2015,Proportion,8.2
Mental Illness Escalation,2016,Proportion,9.3
Mental Illness Escalation,2017,Proportion,7.6
Mental Illness Escalation,2018,Proportion,8.5
Mental Illness Escalation,2019,Proportion,6.8
Mental Illness Escalation,2020,Proportion,8.0
Mental Illness Escalation,2021,Proportion,7.5
Mental Illness Escalation,2022,Proportion,8.6
Mental Illness Escalation,2023,Proportion,8.5
Mental Illness Escalation,2024,Proportion,9.6
Other,2012,Proportion,4.6
Other,2013,Proportion,3.0
Other,2014,Proportion,5.6
Other,2015,Proportion,5.6
Other,2016,Proportion,5.0
Other,2017,Proportion,6.9
Other,2018,Proportion,4.8
Other,2019,Proportion,3.8
Other,2020,Proportion,6.9
Other,2021,Proportion,7.2
Other,2022,Proportion,8.5
Other,2023,Proportion,10.1
Other,2024,Proportion,9.2
Partner Violence,2012,Proportion,0.1
Partner Violence,2013,Proportion,0.3
Partner Violence,2014,Proportion,0.1
Partner Violence,2015,Proportion,0.2
Partner Violence,2016,Proportion,0.4
Partner Violence,2017,Proportion,0.4
Partner Violence,2018,Proportion,0.1
Partner Violence,2019,Proportion,0.3
Partner Violence,2020,Proportion,0.2
Partner Violence,2021,Proportion,0.4
Partner Violence,2022,Proportion,0.1
Partner Violence,2023,Proportion,0.2
Partner Violence,2024,Proportion,0.1
Physical Health,2012,Proportion,2.2
Physical Health,2013,Proportion,1.9
Physical Health,2014,Proportion,1.3
Physical Health,2015,Proportion,0.9
Physical Health,2016,Proportion,0.8
Physical Health,2017,Proportion,1.5
Physical Health,2018,Proportion,1.5
Physical Health,2019,Proportion,2.0
Physical Health,2020,Proportion,1.6
Physical Health,2021,Proportion,1.1
Physical Health,2022,Proportion,1.6
Physical Health,2023,Proportion,1.3
Physical Health,2024,Proportion,1.5
Self Injury,2012,Proportion,9.7
Self Injury,2013,Proportion,8.9
Self Injury,2014,Proportion,6.1
Self Injury,2015,Proportion,4.8
Self Injury,2016,Proportion,4.5
Self Injury,2017,Proportion,5.0
Self Injury,2018,Proportion,4.0
Self Injury,2019,Proportion,6.2
Self Injury,2020,Proportion,7.0
Self Injury,2021,Proportion,6.4
Self Injury,2022,Proportion,7.1
Self Injury,2023,Proportion,6.1
Self Injury,2024,Proportion,6.0
Sexual Assault,2012,Proportion,2.5
Sexual Assault,2013,Proportion,3.7
Sexual Assault,2014,Proportion,3.5
Sexual Assault,2015,Proportion,2.8
Sexual Assault,2016,Proportion,2.8
Sexual Assault,2017,Proportion,2.6
Sexual Assault,2018,Proportion,2.0
Sexual Assault,2019,Proportion,3.9
Sexual Assault,2020,Proportion,2.4
Sexual Assault,2021,Proportion,9.5
Sexual Assault,2022,Proportion,10.4
Sexual Assault,2023,Proportion,6.6
Sexual Assault,2024,Proportion,5.8
Sexual Offender,2012,Proportion,1.1
Sexual Offender,2013,Proportion,1.1
Sexual Offender,2014,Proportion,0.7
Sexual Offender,2015,Proportion,0.1
Sexual Offender,2016,Proportion,0.2
Sexual Offender,2017,Proportion,0.4
Sexual Offender,2018,Proportion,0.4
Sexual Offender,2019,Proportion,0.9
Sexual Offender,2020,Proportion,0.8
Sexual Offender,2021,Proportion,0.4
Sexual Offender,2022,Proportion,0.2
Sexual Offender,2023,Proportion,0.2
Sexual Offender,2024,Proportion,0.3
Suicide Attempt,2012,Proportion,42.3
