sex,period,type_of_homicide,unit,value,data_flag
Persons,2007–08,Domestic,"Rate (Number per 100,000)",0.70,
Persons,2008–09,Domestic,"Rate (Number per 100,000)",0.41,
Persons,2009–10,Domestic,"Rate (Number per 100,000)",0.50,
Persons,2010–11,Domestic,"Rate (Number per 100,000)",0.44,
Persons,2011–12,Domestic,"Rate (Number per 100,000)",0.46,
Persons,2012–13,Domestic,"Rate (Number per 100,000)",0.48,
Persons,2013–14,Domestic,"Rate (Number per 100,000)",0.45,
Persons,2014–15,Domestic,"Rate (Number per 100,000)",0.47,
Persons,2015–16,Domestic,"Rate (Number per 100,000)",0.44,
Persons,2016–17,Domestic,"Rate (Number per 100,000)",0.42,
Persons,2017–18,Domestic,"Rate (Number per 100,000)",0.34,
Persons,2018–19,Domestic,"Rate (Number per 100,000)",0.33,
Persons,2019–20,Domestic,"Rate (Number per 100,000)",0.36,
Persons,2020–21,Domestic,"Rate (Number per 100,000)",0.32,
Persons,2021–22,Domestic,"Rate (Number per 100,000)",0.26,
Persons,2022–23,Domestic,"Rate (Number per 100,000)",0.33,
Persons,2023–24,Domestic,"Rate (Number per 100,000)",0.35,
Persons,2024–25,Domestic,"Rate (Number per 100,000)",0.36,
Persons,1989–90,Family,"Rate (Number per 100,000)",0.27,
Persons,1990–91,Family,"Rate (Number per 100,000)",0.29,
Persons,1991–92,Family,"Rate (Number per 100,000)",0.23,
Persons,1992–93,Family,"Rate (Number per 100,000)",0.30,
Persons,1993–94,Family,"Rate (Number per 100,000)",0.34,
Persons,1994–95,Family,"Rate (Number per 100,000)",0.37,
Persons,1995–96,Family,"Rate (Number per 100,000)",0.35,
Persons,1996–97,Family,"Rate (Number per 100,000)",0.34,
Persons,1997–98,Family,"Rate (Number per 100,000)",0.29,
Persons,1998–99,Family,"Rate (Number per 100,000)",0.26,
Persons,1999–2000,Family,"Rate (Number per 100,000)",0.37,
Persons,2000–01,Family,"Rate (Number per 100,000)",0.21,
Persons,2001–02,Family,"Rate (Number per 100,000)",0.41,
Persons,2002–03,Family,"Rate (Number per 100,000)",0.33,
Persons,2003–04,Family,"Rate (Number per 100,000)",0.28,
Persons,2004–05,Family,"Rate (Number per 100,000)",0.23,
Persons,2005–06,Family,"Rate (Number per 100,000)",0.30,
Persons,2006–07,Family,"Rate (Number per 100,000)",0.25,
Persons,2007–08,Family,"Rate (Number per 100,000)",0.30,
Persons,2008–09,Family,"Rate (Number per 100,000)",0.12,
Persons,2009–10,Family,"Rate (Number per 100,000)",0.21,
Persons,2010–11,Family,"Rate (Number per 100,000)",0.21,
Persons,2011–12,Family,"Rate (Number per 100,000)",0.20,
Persons,2012–13,Family,"Rate (Number per 100,000)",0.20,
Persons,2013–14,Family,"Rate (Number per 100,000)",0.19,
Persons,2014–15,Family,"Rate (Number per 100,000)",0.23,
Persons,2015–16,Family,"Rate (Number per 100,000)",0.24,
Persons,2016–17,Family,"Rate (Number per 100,000)",0.20,
Persons,2017–18,Family,"Rate (Number per 100,000)",0.15,
Persons,2018–19,Family,"Rate (Number per 100,000)",0.14,
Persons,2019–20,Family,"Rate (Number per 100,000)",0.18,
Persons,2020–21,Family,"Rate (Number per 100,000)",0.16,
Persons,2021–22,Family,"Rate (Number per 100,000)",0.12,
Persons,2022–23,Family,"Rate (Number per 100,000)",0.18,
Persons,2023–24,Family,"Rate (Number per 100,000)",0.13,
Persons,2024–25,Family,"Rate (Number per 100,000)",0.19,
Persons,1989–90,Intimate partner,"Rate (Number per 100,000)",0.66,
Persons,1990–91,Intimate partner,"Rate (Number per 100,000)",0.67,
Persons,1991–92,Intimate partner,"Rate (Number per 100,000)",0.52,
Persons,1992–93,Intimate partner,"Rate (Number per 100,000)",0.63,
Persons,1993–94,Intimate partner,"Rate (Number per 100,000)",0.60,
Persons,1994–95,Intimate partner,"Rate (Number per 100,000)",0.70,
Persons,1995–96,Intimate partner,"Rate (Number per 100,000)",0.50,
Persons,1996–97,Intimate partner,"Rate (Number per 100,000)",0.42,
Persons,1997–98,Intimate partner,"Rate (Number per 100,000)",0.51,
Persons,1998–99,Intimate partner,"Rate (Number per 100,000)",0.49,
Persons,1999–2000,Intimate partner,"Rate (Number per 100,000)",0.49,
Persons,2000–01,Intimate partner,"Rate (Number per 100,000)",0.51,
Persons,2001–02,Intimate partner,"Rate (Number per 100,000)",0.64,
Persons,2002–03,Intimate partner,"Rate (Number per 100,000)",0.51,
Persons,2003–04,Intimate partner,"Rate (Number per 100,000)",0.45,
Persons,2004–05,Intimate partner,"Rate (Number per 100,000)",0.43,
Persons,2005–06,Intimate partner,"Rate (Number per 100,000)",0.49,
Persons,2006–07,Intimate partner,"Rate (Number per 100,000)",0.41,
Persons,2007–08,Intimate partner,"Rate (Number per 100,000)",0.52,
Persons,2008–09,Intimate partner,"Rate (Number per 100,000)",0.38,
Persons,2009–10,Intimate partner,"Rate (Number per 100,000)",0.36,
Persons,2010–11,Intimate partner,"Rate (Number per 100,000)",0.30,
Persons,2011–12,Intimate partner,"Rate (Number per 100,000)",0.34,
Persons,2012–13,Intimate partner,"Rate (Number per 100,000)",0.37,
Persons,2013–14,Intimate partner,"Rate (Number per 100,000)",0.34,
Persons,2014–15,Intimate partner,"Rate (Number per 100,000)",0.32,
Persons,2015–16,Intimate partner,"Rate (Number per 100,000)",0.26,
Persons,2016–17,Intimate partner,"Rate (Number per 100,000)",0.29,
Persons,2017–18,Intimate partner,"Rate (Number per 100,000)",0.24,
Persons,2018–19,Intimate partner,"Rate (Number per 100,000)",0.24,
Persons,2019–20,Intimate partner,"Rate (Number per 100,000)",0.23,
Persons,2020–21,Intimate partner,"Rate (Number per 100,000)",0.20,
Persons,2021–22,Intimate partner,"Rate (Number per 100,000)",0.18,
Persons,2022–23,Intimate partner,"Rate (Number per 100,000)",0.19,
Persons,2023–24,Intimate partner,"Rate (Number per 100,000)",0.27,
Persons,2024–25,Intimate partner,"Rate (Number per 100,000)",0.21,
