sex,period,type_of_homicide,unit,value,data_flag
Females,1991–92,Intimate partner,Number,49,
Females,1992–93,Intimate partner,Number,65,
Females,1993–94,Intimate partner,Number,54,
Females,1994–95,Intimate partner,Number,69,
Females,1995–96,Intimate partner,Number,49,
Females,1996–97,Intimate partner,Number,48,
Females,1997–98,Intimate partner,Number,48,
Females,1998–99,Intimate partner,Number,52,
Females,1999–2000,Intimate partner,Number,52,
Females,2000–01,Intimate partner,Number,63,
Females,2001–02,Intimate partner,Number,75,
Females,2002–03,Intimate partner,Number,57,
Females,2003–04,Intimate partner,Number,50,
Females,2004–05,Intimate partner,Number,47,
Females,2005–06,Intimate partner,Number,61,
Females,2006–07,Intimate partner,Number,41,
Females,2007–08,Intimate partner,Number,65,
Females,2008–09,Intimate partner,Number,49,
Females,2009–10,Intimate partner,Number,44,
Females,2010–11,Intimate partner,Number,37,
Females,2011–12,Intimate partner,Number,47,
Females,2012–13,Intimate partner,Number,52,
Females,2013–14,Intimate partner,Number,47,
Females,2014–15,Intimate partner,Number,43,
Females,2015–16,Intimate partner,Number,39,
Females,2016–17,Intimate partner,Number,41,
Females,2017–18,Intimate partner,Number,34,
Females,2018–19,Intimate partner,Number,34,
Females,2019–20,Intimate partner,Number,37,
Females,2020–21,Intimate partner,Number,27,
Females,2021–22,Intimate partner,Number,26,
Females,2022–23,Intimate partner,Number,36,
Females,2023–24,Intimate partner,Number,48,
Females,2024–25,Intimate partner,Number,32,
Males,1989–90,Domestic,Number,50,
Males,1990–91,Domestic,Number,41,
Males,1991–92,Domestic,Number,37,
Males,1992–93,Domestic,Number,51,
Males,1993–94,Domestic,Number,64,
Males,1994–95,Domestic,Number,64,
Males,1995–96,Domestic,Number,52,
Males,1996–97,Domestic,Number,50,
Males,1997–98,Domestic,Number,57,
Males,1998–99,Domestic,Number,42,
Males,1999–2000,Domestic,Number,58,
Males,2000–01,Domestic,Number,32,
Males,2001–02,Domestic,Number,70,
Males,2002–03,Domestic,Number,54,
Males,2003–04,Domestic,Number,47,
Males,2004–05,Domestic,Number,52,
Males,2005–06,Domestic,Number,49,
Males,2006–07,Domestic,Number,56,
Males,2007–08,Domestic,Number,57,
Males,2008–09,Domestic,Number,29,
Males,2009–10,Domestic,Number,46,
Males,2010–11,Domestic,Number,38,
Males,2011–12,Domestic,Number,40,
Males,2012–13,Domestic,Number,44,
Males,2013–14,Domestic,Number,33,
