sex,year,experience_of_violence,sex_of_perpetrator,relationship_with_perpetrator,age_group,unit,value,rse,95_moe,lower_ci,upper_ci,data_flag
Females,2021-22,Experienced partner violence in the last 2 years,By a person,Cohabiting partner,25 to 34 years,Proportion,2.9,18.1,1.0,1.9,3.9,
Females,2021-22,Experienced partner violence in the last 2 years,By a person,Cohabiting partner,35 to 44 years,Proportion,2.8,16.3,0.9,1.9,3.7,
Females,2021-22,Experienced partner violence in the last 2 years,By a person,Cohabiting partner,45 to 54 years,Proportion,1.3,34.3,0.9,0.4,2.2,*
Females,2021-22,Experienced partner violence in the last 2 years,By a person,Cohabiting partner,55 years and over,Proportion,0.6,23.1,0.3,0.3,0.9,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,18 to 24 years,Proportion,35,7.1,4.9,30.1,39.9,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,25 to 34 years,Proportion,20.8,7.1,2.9,17.9,23.7,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,35 to 44 years,Proportion,12.5,8.9,2.2,10.3,14.7,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,45 to 54 years,Proportion,9,9.5,1.7,7.3,10.7,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,55 to 64 years,Proportion,6.3,11.2,1.4,4.9,7.7,
Females,2021-22,Experienced sexual harassment in the last 12 months,By a person,Any person - all relationships,65 years and over,Proportion,3.2,16.7,1.0,2.2,4.2,
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,18 to 24 years,Proportion,12.4,13.4,3.3,9.1,15.7,
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,25 to 34 years,Proportion,4.5,13.9,1.2,3.3,5.7,
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,35 to 44 years,Proportion,2.5,19.6,1.0,1.5,3.5,
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,45 to 54 years,Proportion,1.9,25.8,1.0,0.9,2.9,*
Females,2021-22,Experienced sexual violence in the last 2 years,By a person,Any person - all relationships,55 years and over,Proportion,0.5,27.6,0.3,0.2,0.8,*
