sex,year,characteristic,subcategory,location,unit,value
Females,2024,Age at report,0–9 years at report,New South Wales,Number,753
Females,2024,Age at report,10–17 years at report,New South Wales,Number,2428
Females,2024,Age at report,18–24 years at report,New South Wales,Number,3644
Females,2024,Age at report,25–34 years at report,New South Wales,Number,5965
Females,2024,Age at report,35–44 years at report,New South Wales,Number,5202
Females,2024,Age at report,45–54 years at report,New South Wales,Number,3117
Females,2024,Age at report,55–64 years at report,New South Wales,Number,1360
Females,2024,Age at report,65 years and over at report,New South Wales,Number,1006
Females,2024,Relationship of offender to victim,Intimate partner,New South Wales,Number,13974
Females,2024,Relationship of offender to victim,Current partner,New South Wales,Number,11246
Females,2024,Relationship of offender to victim,Ex-partner,New South Wales,Number,2726
Females,2024,Relationship of offender to victim,Parent,New South Wales,Number,2930
Females,2024,Relationship of offender to victim,Other,New South Wales,Number,6514
Females,2024,Setting of offence,Community location,New South Wales,Number,1981
Females,2024,Setting of offence,Residential location,New South Wales,Number,20498
Females,2024,Age at report,0–9 years at report,Queensland,Number,347
Females,2024,Age at report,10–17 years at report,Queensland,Number,2187
Females,2024,Age at report,18–24 years at report,Queensland,Number,4484
Females,2024,Age at report,25–34 years at report,Queensland,Number,6797
Females,2024,Age at report,35–44 years at report,Queensland,Number,5804
Females,2024,Age at report,45–54 years at report,Queensland,Number,3564
Females,2024,Age at report,55–64 years at report,Queensland,Number,1294
Females,2024,Age at report,65 years and over at report,Queensland,Number,671
Females,2024,Relationship of offender to victim,Intimate partner,Queensland,Number,14843
Females,2024,Relationship of offender to victim,Current partner,Queensland,Number,11713
Females,2024,Relationship of offender to victim,Ex-partner,Queensland,Number,3132
Females,2024,Relationship of offender to victim,Parent,Queensland,Number,2293
Females,2024,Relationship of offender to victim,Other,Queensland,Number,6750
Females,2024,Setting of offence,Community location,Queensland,Number,3072
Females,2024,Setting of offence,Residential location,Queensland,Number,20924
Females,2024,Age at report,0–9 years at report,Western Australia,Number,266
Females,2024,Age at report,10–17 years at report,Western Australia,Number,1787
Females,2024,Age at report,18–24 years at report,Western Australia,Number,3811
Females,2024,Age at report,25–34 years at report,Western Australia,Number,6418
Females,2024,Age at report,35–44 years at report,Western Australia,Number,5598
Females,2024,Age at report,45–54 years at report,Western Australia,Number,2916
Females,2024,Age at report,55–64 years at report,Western Australia,Number,1003
Females,2024,Age at report,65 years and over at report,Western Australia,Number,488
Females,2024,Relationship of offender to victim,Intimate partner,Western Australia,Number,n.a.
Females,2024,Relationship of offender to victim,Current partner,Western Australia,Number,n.a.
Females,2024,Relationship of offender to victim,Ex-partner,Western Australia,Number,n.a.
Females,2024,Relationship of offender to victim,Parent,Western Australia,Number,n.a.
Females,2024,Relationship of offender to victim,Other,Western Australia,Number,n.a.
Females,2024,Setting of offence,Community location,Western Australia,Number,2412
Females,2024,Setting of offence,Residential location,Western Australia,Number,19040
Females,2024,Age at report,0–9 years at report,South Australia,Number,87
Females,2024,Age at report,10–17 years at report,South Australia,Number,478
Females,2024,Age at report,18–24 years at report,South Australia,Number,1119
Females,2024,Age at report,25–34 years at report,South Australia,Number,2261
Females,2024,Age at report,35–44 years at report,South Australia,Number,2337
Females,2024,Age at report,45–54 years at report,South Australia,Number,1272
Females,2024,Age at report,55–64 years at report,South Australia,Number,516
Females,2024,Age at report,65 years and over at report,South Australia,Number,344
Females,2024,Relationship of offender to victim,Intimate partner,South Australia,Number,5587
Females,2024,Relationship of offender to victim,Current partner,South Australia,Number,3571
Females,2024,Relationship of offender to victim,Ex-partner,South Australia,Number,2014
Females,2024,Relationship of offender to victim,Parent,South Australia,Number,1265
Females,2024,Relationship of offender to victim,Other,South Australia,Number,1541
Females,2024,Setting of offence,Community location,South Australia,Number,1235
Females,2024,Setting of offence,Residential location,South Australia,Number,6946
Females,2024,Age at report,0–9 years at report,Tasmania,Number,27
Females,2024,Age at report,10–17 years at report,Tasmania,Number,88
Females,2024,Age at report,18–24 years at report,Tasmania,Number,255
Females,2024,Age at report,25–34 years at report,Tasmania,Number,465
Females,2024,Age at report,35–44 years at report,Tasmania,Number,352
Females,2024,Age at report,45–54 years at report,Tasmania,Number,161
Females,2024,Age at report,55–64 years at report,Tasmania,Number,64
Females,2024,Age at report,65 years and over at report,Tasmania,Number,30
Females,2024,Relationship of offender to victim,Intimate partner,Tasmania,Number,1223
Females,2024,Relationship of offender to victim,Current partner,Tasmania,Number,706
Females,2024,Relationship of offender to victim,Ex-partner,Tasmania,Number,517
Females,2024,Relationship of offender to victim,Parent,Tasmania,Number,78
Females,2024,Relationship of offender to victim,Other,Tasmania,Number,159
Females,2024,Setting of offence,Community location,Tasmania,Number,156
Females,2024,Setting of offence,Residential location,Tasmania,Number,1234
Females,2024,Age at report,0–9 years at report,Australian Capital Territory,Number,19
Females,2024,Age at report,10–17 years at report,Australian Capital Territory,Number,71
Females,2024,Age at report,18–24 years at report,Australian Capital Territory,Number,90
Females,2024,Age at report,25–34 years at report,Australian Capital Territory,Number,184
Females,2024,Age at report,35–44 years at report,Australian Capital Territory,Number,174
