gender,year,crisis_payment_claims,unit,value
Females,2015–16,Claims granted,Number,15091
Females,2016–17,Claims granted,Number,15700
Females,2017–18,Claims granted,Number,15233
Females,2018–19,Claims granted,Number,16654
Females,2019–20,Claims granted,Number,17244
Females,2020–21,Claims granted,Number,20551
Females,2021–22,Claims granted,Number,21136
Females,2022–23,Claims granted,Number,22511
Females,2023–24,Claims granted,Number,25321
Females,2024–25,Claims granted,Number,30217
Males,2015–16,Claims granted,Number,2261
Males,2016–17,Claims granted,Number,2216
Males,2017–18,Claims granted,Number,2079
Males,2018–19,Claims granted,Number,2497
Males,2019–20,Claims granted,Number,2928
Males,2020–21,Claims granted,Number,5024
Males,2021–22,Claims granted,Number,4950
Males,2022–23,Claims granted,Number,5198
Males,2023–24,Claims granted,Number,6501
Males,2024–25,Claims granted,Number,8456
Persons,2015–16,Claims granted,Number,17352
Persons,2016–17,Claims granted,Number,17916
Persons,2017–18,Claims granted,Number,17312
Persons,2018–19,Claims granted,Number,19151
Persons,2019–20,Claims granted,Number,20172
Persons,2020–21,Claims granted,Number,25575
Persons,2021–22,Claims granted,Number,26086
Persons,2022–23,Claims granted,Number,27709
Persons,2023–24,Claims granted,Number,31822
Persons,2024–25,Claims granted,Number,38673
Females,2015–16,Total claims,Number,16775
Females,2016–17,Total claims,Number,17726
Females,2017–18,Total claims,Number,17519
Females,2018–19,Total claims,Number,19232
Females,2019–20,Total claims,Number,22263
Females,2020–21,Total claims,Number,55409
Females,2021–22,Total claims,Number,40743
Females,2022–23,Total claims,Number,44617
Females,2023–24,Total claims,Number,48582
Females,2024–25,Total claims,Number,58650
Males,2015–16,Total claims,Number,2567
Males,2016–17,Total claims,Number,2573
Males,2017–18,Total claims,Number,2494
Males,2018–19,Total claims,Number,2996
Males,2019–20,Total claims,Number,4219
Males,2020–21,Total claims,Number,21562
Males,2021–22,Total claims,Number,12001
Males,2022–23,Total claims,Number,12928
Males,2023–24,Total claims,Number,14993
Males,2024–25,Total claims,Number,19528
Persons,2015–16,Total claims,Number,19342
Persons,2016–17,Total claims,Number,20299
Persons,2017–18,Total claims,Number,20013
Persons,2018–19,Total claims,Number,22228
Persons,2019–20,Total claims,Number,26482
Persons,2020–21,Total claims,Number,76971
Persons,2021–22,Total claims,Number,52744
Persons,2022–23,Total claims,Number,57545
Persons,2023–24,Total claims,Number,63575
Persons,2024–25,Total claims,Number,78178
