sex,year,characteristic,subcategory,unit,value
Persons,2019,Aggravated sexual assault,No,Number,5727
Persons,2019,Finalised investigation,Yes,Number,9071
Persons,2019,Finalised investigation,No,Number,17791
Persons,2019,Setting of offence,Residential,Number,17378
Persons,2019,Setting of offence,Community,Number,4310
Persons,2019,Setting of offence,Other location,Number,2714
Persons,2019,Time to report,Less than 1 year,Number,19571
Persons,2019,Time to report,1 to less than 2 years,Number,1549
Persons,2019,Time to report,2 to less than 5 years,Number,1519
Persons,2019,Time to report,5 to less than 10 years,Number,1167
Persons,2019,Time to report,10 to less than 20 years,Number,1002
Persons,2019,Time to report,20 years and over,Number,2042
Persons,2019,Weapon used,Yes,Number,763
Persons,2019,Weapon used,No,Number,25554
Persons,2020,Aggravated sexual assault,Yes,Number,22287
Persons,2020,Aggravated sexual assault,No,Number,5249
Persons,2020,Finalised investigation,Yes,Number,9613
Persons,2020,Finalised investigation,No,Number,17930
Persons,2020,Setting of offence,Residential,Number,18081
Persons,2020,Setting of offence,Community,Number,4048
Persons,2020,Setting of offence,Other location,Number,2490
Persons,2020,Time to report,Less than 1 year,Number,18824
Persons,2020,Time to report,1 to less than 2 years,Number,1889
Persons,2020,Time to report,2 to less than 5 years,Number,2025
Persons,2020,Time to report,5 to less than 10 years,Number,1619
Persons,2020,Time to report,10 to less than 20 years,Number,1220
Persons,2020,Time to report,20 years and over,Number,1950
Persons,2020,Weapon used,Yes,Number,415
Persons,2020,Weapon used,No,Number,26020
Persons,2021,Aggravated sexual assault,Yes,Number,24665
Persons,2021,Aggravated sexual assault,No,Number,6409
Persons,2021,Finalised investigation,Yes,Number,10543
Persons,2021,Finalised investigation,No,Number,20534
Persons,2021,Setting of offence,Residential,Number,20945
Persons,2021,Setting of offence,Community,Number,4859
Persons,2021,Setting of offence,Other location,Number,3236
Persons,2021,Time to report,Less than 1 year,Number,21343
Persons,2021,Time to report,1 to less than 2 years,Number,1896
Persons,2021,Time to report,2 to less than 5 years,Number,2341
Persons,2021,Time to report,5 to less than 10 years,Number,1835
Persons,2021,Time to report,10 to less than 20 years,Number,1386
Persons,2021,Time to report,20 years and over,Number,2252
Persons,2021,Weapon used,Yes,Number,433
Persons,2021,Weapon used,No,Number,29077
Persons,2022,Aggravated sexual assault,Yes,Number,26261
Persons,2022,Aggravated sexual assault,No,Number,6507
Persons,2022,Finalised investigation,Yes,Number,10680
Persons,2022,Finalised investigation,No,Number,22093
Persons,2022,Setting of offence,Residential,Number,21360
Persons,2022,Setting of offence,Community,Number,6073
Persons,2022,Setting of offence,Other location,Number,3637
Persons,2022,Time to report,Less than 1 year,Number,22537
Persons,2022,Time to report,1 to less than 2 years,Number,1809
Persons,2022,Time to report,2 to less than 5 years,Number,2378
Persons,2022,Time to report,5 to less than 10 years,Number,1724
Persons,2022,Time to report,10 to less than 20 years,Number,1499
Persons,2022,Time to report,20 years and over,Number,2804
Persons,2022,Weapon used,Yes,Number,483
Persons,2022,Weapon used,No,Number,30796
Persons,2023,Aggravated sexual assault,Yes,Number,29114
Persons,2023,Aggravated sexual assault,No,Number,7207
Persons,2023,Finalised investigation,Yes,Number,11839
Persons,2023,Finalised investigation,No,Number,24452
Persons,2023,Setting of offence,Residential,Number,25022
Persons,2023,Setting of offence,Community,Number,6387
Persons,2023,Setting of offence,Other location,Number,3938
Persons,2023,Time to report,Less than 1 year,Number,24973
Persons,2023,Time to report,1 to less than 2 years,Number,1996
