STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1980558,46.55%,-0.03%
VIC,426341,10.02%,-0.02%
QLD,616258,14.48%,-0.02%
SA,619414,14.56%,0.30%
WA,441209,10.37%,-0.02%
TAS,139799,3.29%,-0.02%
NT,7146,0.17%,0.13%
ACT,24327,0.57%,0.06%
TOTAL,4255052,100.00%,0.02%
