STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2201210,46.20%,-0.10%
VIC,499809,10.49%,-0.17%
QLD,698621,14.66%,-0.19%
SA,596054,12.51%,0.22%
WA,555071,11.65%,-0.24%
TAS,172728,3.63%,-0.16%
NT,10391,0.22%,-0.06%
ACT,30851,0.65%,-0.33%
Other,160,0.00%,0.00%
TOTAL,4764895,100.00%,-0.10%
