STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,97057,247488,262187,223469,146270,114116,1090587,40.12%
VIC,24709,77802,66651,54591,36995,28698,289446,14.17%
QLD,66857,92346,81123,52705,31855,18101,342987,21.96%
SA,36397,69188,66743,60849,42202,30246,305625,48.55%
WA,11554,62923,75957,62260,41427,32317,286438,36.09%
TAS,2848,17803,21556,20335,13310,11360,87212,44.61%
NT,470,1670,1778,1246,722,216,6102,8.69%
ACT,1509,4714,4497,3505,2478,1466,18169,13.82%
Other,1,8,23,32,15,6,85,0.00%
TOTAL,241402,573942,580515,478992,315274,236526,2426651,29.80%
