STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2033046,47.24%,-0.05%
VIC,444967,10.34%,-0.08%
QLD,628311,14.60%,-0.07%
SA,551055,12.80%,0.11%
WA,466960,10.85%,-0.21%
TAS,146200,3.40%,-0.09%
NT,7944,0.18%,-0.30%
ACT,25156,0.58%,-0.16%
TOTAL,4303639,100.00%,-0.06%
