STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,389118,22.14%,0.48%
VIC,440214,25.05%,0.42%
QLD,348445,19.83%,0.23%
SA,198260,11.28%,0.46%
WA,274565,15.63%,0.16%
TAS,53960,3.07%,0.39%
NT,13415,0.76%,-0.09%
ACT,39209,2.23%,0.13%
TOTAL,1757186,100.00%,0.35%
