"State","16-17","18-24","25-34","35-44","45-54","55-64","65+","Total","% of ABS Estimated Population"
NSW,142,3359,16791,24803,28089,31017,55441,159642,5.5%
VIC,80,5330,29359,33924,32458,30608,41172,172931,7.6%
QLD,67,2837,16435,22739,26089,26872,40358,135397,7.5%
SA,2891,9444,12471,11671,13313,13682,22324,85796,12.9%
WA,28,3225,17059,19761,20823,19989,26297,107182,10.6%
TAS,3,622,2654,3074,3714,4400,5963,20430,10.1%
NT,0,127,846,1057,1090,1015,736,4871,4.9%
ACT,6,625,3184,3227,3027,2635,3196,15900,10.5%
TOTAL,3217,25569,98799,120256,128603,130218,195487,702149,7.7%
