Executive employment in the Department of Human Services,,,,,
,2023-24,2022-23,2021-22,2020-21,2019-20
EXEC0E,1,1,1,1,0
SAES2,6,6,6,6,7
SAES1,22,22,22,19,21
,,,,,
The number of executives is based on the number as at 30 June,,,,,
