Executive employment in the Department of Human Services,,,,,
,2024-25,2023-24,2022-23,2021-22,2020-21
EXEC0E,1,1,1,1,1
SAES2,7,6,6,6,6
SAES1,27,22,22,22,19
,,,,,
The number of executives is based on the number as at 30 June,,,,,
