STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2063022,47.26%,-0.23%
VIC,455460,10.43%,-0.54%
QLD,634904,14.54%,-0.12%
SA,544564,12.47%,-0.04%
WA,483568,11.08%,-0.45%
TAS,148677,3.41%,-0.87%
NT,9333,0.21%,-1.82%
ACT,25921,0.59%,-0.30%
TOTAL,4365449,100.00%,-0.27%
