STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1982191,46.59%,-0.05%
VIC,426790,10.03%,-0.09%
QLD,616544,14.49%,-0.05%
SA,615990,14.48%,0.25%
WA,441544,10.38%,-0.05%
TAS,139891,3.29%,-0.04%
NT,7150,0.17%,0.04%
ACT,24340,0.57%,-0.11%
TOTAL,4254440,100.00%,-0.01%
