financial_year,metric,material,value,unit
2005-06,containers_returned,,422983728,containers
2006-07,containers_returned,,454530169,containers
2007-08,containers_returned,,515733029,containers
2008-09,containers_returned,,576727234,containers
2009-10,containers_returned,,619080770,containers
2010-11,containers_returned,,593341714,containers
2011-12,containers_returned,,609353490,containers
2012-13,containers_returned,,594066276,containers
2013-14,containers_returned,,583136922,containers
2014-15,containers_returned,,583039041,containers
2015-16,containers_returned,,582500086,containers
2016-17,containers_returned,,586846915,containers
2017-18,containers_returned,,602926673,containers
2018-19,containers_returned,,612477153,containers
2019-20,containers_returned,,605568073,containers
2005-06,return_rate,Glass,81.9,percent
2006-07,return_rate,Glass,79.8,percent
2007-08,return_rate,Glass,78.5,percent
2008-09,return_rate,Glass,79.1,percent
2009-10,return_rate,Glass,84.3,percent
2010-11,return_rate,Glass,83.4,percent
2011-12,return_rate,Glass,84.4,percent
2012-13,return_rate,Glass,85.71,percent
2013-14,return_rate,Glass,86.32,percent
2014-15,return_rate,Glass,82.29,percent
2015-16,return_rate,Glass,79.3,percent
2016-17,return_rate,Glass,84.9,percent
2017-18,return_rate,Glass,86,percent
2018-19,return_rate,Glass,83.4,percent
2005-06,return_rate,Aluminium,75.4,percent
2006-07,return_rate,Aluminium,78.8,percent
2007-08,return_rate,Aluminium,77.3,percent
2008-09,return_rate,Aluminium,82.9,percent
2009-10,return_rate,Aluminium,85.6,percent
2010-11,return_rate,Aluminium,88.9,percent
2011-12,return_rate,Aluminium,87.8,percent
2012-13,return_rate,Aluminium,86.88,percent
2013-14,return_rate,Aluminium,84.33,percent
2014-15,return_rate,Aluminium,83.53,percent
2015-16,return_rate,Aluminium,83.6,percent
2016-17,return_rate,Aluminium,88.8,percent
2017-18,return_rate,Aluminium,83.7,percent
2018-19,return_rate,Aluminium,82.9,percent
2005-06,return_rate,PET,66.1,percent
2006-07,return_rate,PET,65.9,percent
2007-08,return_rate,PET,63.6,percent
2008-09,return_rate,PET,70.4,percent
2009-10,return_rate,PET,73.9,percent
2010-11,return_rate,PET,72.3,percent
2011-12,return_rate,PET,78,percent
2012-13,return_rate,PET,72.16,percent
2013-14,return_rate,PET,70.45,percent
2014-15,return_rate,PET,69.54,percent
2015-16,return_rate,PET,64.8,percent
2016-17,return_rate,PET,65.8,percent
2017-18,return_rate,PET,68.9,percent
2018-19,return_rate,PET,68,percent
2005-06,return_rate,HDPE,48.7,percent
2006-07,return_rate,HDPE,46.4,percent
2007-08,return_rate,HDPE,49.2,percent
2008-09,return_rate,HDPE,50.9,percent
2009-10,return_rate,HDPE,61.3,percent
2010-11,return_rate,HDPE,59.2,percent
2011-12,return_rate,HDPE,58.6,percent
2012-13,return_rate,HDPE,58.21,percent
2013-14,return_rate,HDPE,56.39,percent
2014-15,return_rate,HDPE,60.69,percent
2015-16,return_rate,HDPE,61.3,percent
2016-17,return_rate,HDPE,53.5,percent
2017-18,return_rate,HDPE,63.5,percent
2018-19,return_rate,HDPE,64.1,percent
2005-06,return_rate,LPB,36.6,percent
2006-07,return_rate,LPB,36.9,percent
2007-08,return_rate,LPB,35.4,percent
2008-09,return_rate,LPB,49.6,percent
2009-10,return_rate,LPB,58.1,percent
2010-11,return_rate,LPB,55.5,percent
2011-12,return_rate,LPB,57.7,percent
2012-13,return_rate,LPB,62.95,percent
2013-14,return_rate,LPB,61.85,percent
2014-15,return_rate,LPB,67.2,percent
2015-16,return_rate,LPB,66.1,percent
2016-17,return_rate,LPB,67.4,percent
2017-18,return_rate,LPB,44.3,percent
2018-19,return_rate,LPB,49.1,percent
2005-06,return_rate,Total,69.5,percent
2006-07,return_rate,Total,70.6,percent
2007-08,return_rate,Total,69.9,percent
2008-09,return_rate,Total,75.8,percent
2009-10,return_rate,Total,80.1,percent
2010-11,return_rate,Total,80.4,percent
2011-12,return_rate,Total,81.4,percent
2012-13,return_rate,Total,80.81,percent
2013-14,return_rate,Total,79.46,percent
2014-15,return_rate,Total,78.47,percent
2015-16,return_rate,Total,76.5,percent
2016-17,return_rate,Total,79.9,percent
2017-18,return_rate,Total,76.9,percent
2018-19,return_rate,Total,76.4,percent
2006-07,inspections,,1278,count
2006-07,non_compliant_containers,,766,count
2007-08,inspections,,1127,count
2007-08,non_compliant_containers,,670,count
2008-09,inspections,,694,count
2008-09,non_compliant_containers,,563,count
2009-10,inspections,,537,count
2009-10,non_compliant_containers,,438,count
2010-11,inspections,,342,count
2010-11,non_compliant_containers,,523,count
2011-12,inspections,,456,count
2011-12,non_compliant_containers,,572,count
2012-13,inspections,,393,count
2012-13,non_compliant_containers,,577,count
2013-14,inspections,,425,count
2013-14,non_compliant_containers,,577,count
2014-15,inspections,,508,count
2014-15,non_compliant_containers,,514,count
2015-16,inspections,,406,count
2015-16,non_compliant_containers,,706,count
2016-17,inspections,,291,count
2016-17,non_compliant_containers,,325,count
2017-18,inspections,,189,count
2017-18,non_compliant_containers,,162,count
2018-19,inspections,,247,count
2018-19,non_compliant_containers,,239,count
