STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1979958,46.52%,-0.03%
VIC,426222,10.01%,-0.03%
QLD,616123,14.48%,-0.02%
SA,621456,14.60%,0.33%
WA,441149,10.36%,-0.01%
TAS,139768,3.28%,-0.02%
NT,7138,0.17%,-0.11%
ACT,24327,0.57%,0.00%
TOTAL,4256141,100.00%,0.03%
