STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,310287,22.37%,0.45%
VIC,333649,24.05%,0.56%
QLD,294147,21.20%,0.40%
SA,140094,10.10%,0.79%
WA,226763,16.35%,0.74%
TAS,43357,3.13%,1.37%
NT,10605,0.76%,0.67%
ACT,28438,2.05%,0.78%
TOTAL,1387340,100.00%,0.58%
