category,metric,financial_year,value
Bonds numbers held,Total tenant provided residential bonds held,2017-18,160737
Bonds numbers held,Total tenant provided residential bonds held,2016-17,154813
Bonds numbers held,Total tenant provided residential bonds held,2015-16,152353
Bonds numbers held,Total Housing SA provided residential bonds held,2017-18,232
Bonds numbers held,Total Housing SA provided residential bonds held,2016-17,244
Bonds numbers held,Total Housing SA provided residential bonds held,2015-16,265
Bonds numbers held,Total Housing SA residential bond guarantees held,2017-18,73919
Bonds numbers held,Total Housing SA residential bond guarantees held,2016-17,73004
Bonds numbers held,Total Housing SA residential bond guarantees held,2015-16,68779
Bonds numbers held,Total residential bonds held,2017-18,234888
Bonds numbers held,Total residential bonds held,2016-17,228061
Bonds numbers held,Total residential bonds held,2015-16,221397
Residential Tenancies Bonds,Residential bonds lodged,2017-18,66692
Residential Tenancies Bonds,Residential bonds lodged,2016-17,66822
Residential Tenancies Bonds,Residential bonds lodged,2015-16,68463
Residential Tenancies Bonds,Residential bonds refunded,2017-18,59840
Residential Tenancies Bonds,Residential bonds refunded,2016-17,59688
Residential Tenancies Bonds,Residential bonds refunded,2015-16,60152
Incoming contact,Incoming bond calls,2017-18,54544
Incoming contact,Incoming bond calls,2016-17,37039
Incoming contact,Incoming bond calls,2015-16,51369
Incoming contact,Incoming emails requesting advice,2017-18,31200
Incoming contact,Incoming emails requesting advice,2016-17,34601
Incoming contact,Incoming emails requesting advice,2015-16,27780
Advice and compliance,Tenancy advice provided,2017-18,35347
Advice and compliance,Tenancy advice provided,2016-17,35386
Advice and compliance,Tenancy advice provided,2015-16,43028
Advice and compliance,Expiation notices issued,2017-18,8
Advice and compliance,Expiation notices issued,2016-17,9
Advice and compliance,Expiation notices issued,2015-16,57
