date,item,is_cpi_group_level,index_number,annual_pct_change,monthly_pct_change
2025-08,All groups CPI,True,99.52,2.6,0.1
2025-09,All groups CPI,True,100,3,0.5
2025-10,All groups CPI,True,100.11,3.7,0.1
2025-11,All groups CPI,True,100.17,3.3,0.1
2025-12,All groups CPI,True,101,3.3,0.8
2026-01,All groups CPI,True,101.27,3.5,0.3
2026-02,All groups CPI,True,101.41,3.4,0.1
2026-03,All groups CPI,True,102.7,4.9,1.3
2026-04,All groups CPI,True,103.38,4.6,0.7
2026-05,All groups CPI,True,102.67,4.4,-0.7
2024-05,"Audio, visual and computing equipment",False,,,2.1
2024-06,"Audio, visual and computing equipment",False,,,-2.7
2024-07,"Audio, visual and computing equipment",False,,,2.3
2024-08,"Audio, visual and computing equipment",False,,,0.4
2024-09,"Audio, visual and computing equipment",False,,,-3.2
2024-10,"Audio, visual and computing equipment",False,,,0.1
2024-11,"Audio, visual and computing equipment",False,,,2.7
2024-12,"Audio, visual and computing equipment",False,,,-4.4
2025-01,"Audio, visual and computing equipment",False,,,1
2025-02,"Audio, visual and computing equipment",False,,,0.3
2025-03,"Audio, visual and computing equipment",False,,,1.9
2025-04,"Audio, visual and computing equipment",False,,-0.7,-1
2025-05,"Audio, visual and computing equipment",False,,-0.8,2
2025-06,"Audio, visual and computing equipment",False,,0.1,-1.8
2025-07,"Audio, visual and computing equipment",False,,-2.2,-0.1
2025-08,"Audio, visual and computing equipment",False,,-0.5,2.2
2025-09,"Audio, visual and computing equipment",False,,0.2,-2.5
2025-10,"Audio, visual and computing equipment",False,,0,-0.1
2025-11,"Audio, visual and computing equipment",False,,-2.3,0.3
2025-12,"Audio, visual and computing equipment",False,,-1,-3
2026-01,"Audio, visual and computing equipment",False,,0.3,2.3
2026-02,"Audio, visual and computing equipment",False,,1,1
2026-03,"Audio, visual and computing equipment",False,,-2,-1.1
2026-04,"Audio, visual and computing equipment",False,,-1.8,-0.8
2026-05,"Audio, visual and computing equipment",False,,-3,0.8
2024-05,"Audio, visual and computing equipment and services",False,,,2.3
2024-06,"Audio, visual and computing equipment and services",False,,,-1.1
2024-07,"Audio, visual and computing equipment and services",False,,,1.7
2024-08,"Audio, visual and computing equipment and services",False,,,0.4
2024-09,"Audio, visual and computing equipment and services",False,,,-1.7
2024-10,"Audio, visual and computing equipment and services",False,,,0.1
2024-11,"Audio, visual and computing equipment and services",False,,,1.8
2024-12,"Audio, visual and computing equipment and services",False,,,-2.5
2025-01,"Audio, visual and computing equipment and services",False,,,0.6
2025-02,"Audio, visual and computing equipment and services",False,,,0.6
2025-03,"Audio, visual and computing equipment and services",False,,,1.5
2025-04,"Audio, visual and computing equipment and services",False,,3.2,-0.5
2025-05,"Audio, visual and computing equipment and services",False,,2.1,1.2
2025-06,"Audio, visual and computing equipment and services",False,,2.7,-0.6
2025-07,"Audio, visual and computing equipment and services",False,,0.8,-0.2
2025-08,"Audio, visual and computing equipment and services",False,,4.2,3.8
2025-09,"Audio, visual and computing equipment and services",False,,5.1,-0.9
2025-10,"Audio, visual and computing equipment and services",False,,5,0
2025-11,"Audio, visual and computing equipment and services",False,,3.6,0.5
2025-12,"Audio, visual and computing equipment and services",False,,4.8,-1.4
2026-01,"Audio, visual and computing equipment and services",False,,5.2,1
2026-02,"Audio, visual and computing equipment and services",False,,5.4,0.8
2026-03,"Audio, visual and computing equipment and services",False,,3.4,-0.4
2026-04,"Audio, visual and computing equipment and services",False,,3.7,-0.2
2026-05,"Audio, visual and computing equipment and services",False,,3.5,1
2024-05,"Audio, visual and computing media and services",False,,,2.6
2024-06,"Audio, visual and computing media and services",False,,,0.7
2024-07,"Audio, visual and computing media and services",False,,,1.1
2024-08,"Audio, visual and computing media and services",False,,,0.3
2024-09,"Audio, visual and computing media and services",False,,,0.1
2024-10,"Audio, visual and computing media and services",False,,,0.1
2024-11,"Audio, visual and computing media and services",False,,,0.8
2024-12,"Audio, visual and computing media and services",False,,,-0.2
2025-01,"Audio, visual and computing media and services",False,,,0.2
2025-02,"Audio, visual and computing media and services",False,,,0.8
2025-03,"Audio, visual and computing media and services",False,,,1
2025-04,"Audio, visual and computing media and services",False,,7.9,0.2
2025-05,"Audio, visual and computing media and services",False,,5.7,0.4
2025-06,"Audio, visual and computing media and services",False,,5.7,0.7
2025-07,"Audio, visual and computing media and services",False,,4.3,-0.2
2025-08,"Audio, visual and computing media and services",False,,9.6,5.4
2025-09,"Audio, visual and computing media and services",False,,10.4,0.8
2025-10,"Audio, visual and computing media and services",False,,10.4,0.1
2025-11,"Audio, visual and computing media and services",False,,10.2,0.7
2025-12,"Audio, visual and computing media and services",False,,10.7,0.2
2026-01,"Audio, visual and computing media and services",False,,10.3,-0.1
2026-02,"Audio, visual and computing media and services",False,,10,0.5
2026-03,"Audio, visual and computing media and services",False,,9,0.2
2026-04,"Audio, visual and computing media and services",False,,9.4,0.5
2026-05,"Audio, visual and computing media and services",False,,10.3,1.3
2017-10,Automotive fuel,False,,,-0.1
2017-11,Automotive fuel,False,,,6.1
2017-12,Automotive fuel,False,,,2.9
2018-01,Automotive fuel,False,,,-3.9
2018-02,Automotive fuel,False,,,1.5
