STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,332858,21.87%,0.42%
VIC,372737,24.49%,0.75%
QLD,315317,20.72%,0.46%
SA,158576,10.42%,1.10%
WA,250553,16.46%,0.60%
TAS,46915,3.08%,0.30%
NT,12297,0.81%,0.68%
ACT,32747,2.15%,0.83%
TOTAL,1522000,100.00%,0.62%
