STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,76,4732,13844,22244,23634,27146,40835,132511,4.65%
VIC,113,8979,24575,30010,25967,24616,27960,142220,6.46%
QLD,95,5960,14800,22431,23432,24793,29673,121184,6.85%
SA,2118,7828,7400,9693,10376,11344,15292,64051,9.81%
WA,54,6813,15318,18751,18672,18383,19329,97320,10.52%
TAS,36,981,2258,2941,3390,3977,4097,17680,8.98%
NT,10,262,810,983,1031,899,479,4474,4.94%
ACT,25,943,2542,2651,2473,2139,2079,12852,9.02%
TOTAL,2527,36498,81547,109704,108975,113297,139744,592292,6.71%
