STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,299026,22.59%,0.53%
VIC,317841,24.01%,0.80%
QLD,283198,21.40%,0.66%
SA,131840,9.96%,1.10%
WA,214219,16.19%,0.99%
TAS,41123,3.11%,0.49%
NT,9820,0.74%,0.75%
ACT,26466,2.00%,0.90%
TOTAL,1323533,100.00%,0.76%
