STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,379453,21.98%,0.33%
VIC,431585,25.00%,0.24%
QLD,344248,19.94%,0.16%
SA,193638,11.22%,0.37%
WA,272260,15.77%,0.12%
TAS,53356,3.09%,0.04%
NT,13427,0.78%,-0.22%
ACT,38552,2.23%,0.28%
TOTAL,1726519,100.00%,0.23%
