STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,3977,137309,225161,224264,181371,186940,959022,31.90%
VIC,4796,39777,62794,51915,41110,41411,241803,10.30%
QLD,4396,78231,80822,62015,38866,31587,295917,16.00%
SA,28155,60954,60983,59052,49755,50474,309373,44.90%
WA,1877,18668,51159,55064,44340,47147,218255,22.00%
TAS,555,4967,15047,16949,14624,16316,68458,32.90%
NT,161,621,1114,1039,634,347,3916,4.50%
ACT,602,2421,3784,3137,2282,2173,14399,9.30%
TOTAL,44519,342948,500864,473435,372982,376395,2111143,22.60%
