STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1970671,46.13%,-0.02%
VIC,425447,9.96%,0.00%
QLD,616789,14.44%,0.02%
SA,646941,15.15%,0.29%
WA,440239,10.31%,-0.02%
TAS,139304,3.26%,-0.01%
NT,7109,0.17%,-0.21%
ACT,24719,0.58%,0.25%
TOTAL,4271219,100.00%,0.04%
