STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,283755,25.03%,1.08%
VIC,274245,24.19%,1.74%
QLD,240285,21.19%,2.66%
SA,102965,9.08%,2.54%
WA,168541,14.86%,3.50%
TAS,33577,2.96%,6.43%
NT,9071,0.80%,0.50%
ACT,21398,1.89%,3.01%
TOTAL,1133837,100.00%,2.24%
