STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,77,5164,13161,21647,22842,26388,38162,127441,4.59%
VIC,93,9026,22798,28080,24252,22738,25262,132249,6.21%
QLD,98,6357,14338,21520,22682,24245,27462,116702,6.80%
SA,1939,7121,6677,8936,9659,10554,13950,58836,9.17%
WA,66,6989,14134,17693,17589,17069,17442,90982,10.18%
TAS,20,1016,2151,2772,3297,3811,3757,16824,8.67%
NT,5,254,745,963,931,820,411,4129,4.73%
ACT,14,933,2285,2451,2239,1988,1832,11742,8.42%
TOTAL,2312,36860,76289,104062,103491,107613,128278,558905,6.52%
