STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,317928,22.22%,0.36%
VIC,345257,24.13%,0.53%
QLD,301743,21.09%,0.43%
SA,145734,10.19%,0.61%
WA,234349,16.38%,0.51%
TAS,44357,3.10%,0.37%
NT,11251,0.79%,0.91%
ACT,29963,2.09%,0.87%
TOTAL,1430582,100.00%,0.48%
