STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2203454,46.20%,-0.16%
VIC,500640,10.50%,-0.29%
QLD,699960,14.68%,-0.30%
SA,594724,12.47%,0.09%
WA,556381,11.66%,-0.38%
TAS,172998,3.63%,-0.26%
NT,10397,0.22%,-0.19%
ACT,30953,0.65%,-0.26%
Other,160,0.00%,0.00%
TOTAL,4769667,100.00%,-0.19%
