financial_year,month,approved_applications_count
2017-18,July,371
2017-18,August,405
2017-18,September,344
2017-18,October,334
2017-18,November,378
2017-18,December,221
2017-18,January,460
2017-18,February,667
2017-18,March,619
2017-18,April,569
2017-18,May,670
