STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1961827,45.73%,-0.07%
VIC,428637,9.99%,-0.05%
QLD,618920,14.43%,-0.05%
SA,668766,15.59%,0.29%
WA,440096,10.26%,-0.02%
TAS,138890,3.24%,-0.06%
NT,7244,0.17%,0.11%
ACT,25161,0.59%,-0.13%
TOTAL,4289541,100.00%,0.00%
