STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,4812,124664,221996,224415,184834,195619,956340,31.80%
VIC,5401,36341,63664,52758,41744,43297,243205,10.30%
QLD,5018,74461,80092,63666,40269,33317,296823,16.00%
SA,28655,60669,61312,59554,50869,53346,314405,45.60%
WA,2134,16726,49627,55188,45299,49325,218299,22.00%
TAS,598,4342,14568,16799,14962,17089,68358,32.80%
NT,170,628,1061,1090,651,367,3967,4.60%
ACT,650,2390,3759,3189,2316,2266,14570,9.40%
TOTAL,47438,320221,496079,476659,380944,394626,2115967,22.60%
