STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,1965306,45.92%,-0.04%
VIC,427288,9.98%,0.03%
QLD,617719,14.43%,0.02%
SA,658598,15.39%,0.32%
WA,440062,10.28%,-0.02%
TAS,139024,3.25%,-0.03%
NT,7172,0.17%,0.11%
ACT,24996,0.58%,0.13%
TOTAL,4280165,100.00%,0.03%
