st_code,st_name,lga_code,lga_name,financial_year,births,deaths,natural_increase,internal_arrivals,internal_departures,net_internal_migration,overseas_arrivals,overseas_departures,net_overseas_migration
1,New South Wales,10050,Albury,2021-22,720,551,169,4025,3472,553,434,199,235
1,New South Wales,10050,Albury,2022-23,682,527,155,3433,3158,275,584,158,426
1,New South Wales,10050,Albury,2023-24,747,492,255,3479,3170,309,504,180,324
1,New South Wales,10050,Albury,2024-25,732,531,201,3529,3194,335,435,201,234
1,New South Wales,10180,Armidale,2021-22,336,240,96,2406,2654,-248,466,213,253
1,New South Wales,10180,Armidale,2022-23,359,287,72,2150,2509,-359,663,170,493
1,New South Wales,10180,Armidale,2023-24,341,260,81,2089,2473,-384,541,191,350
1,New South Wales,10180,Armidale,2024-25,318,275,43,1983,2312,-329,468,216,252
1,New South Wales,10250,Ballina,2021-22,453,491,-38,4004,3363,641,375,172,203
1,New South Wales,10250,Ballina,2022-23,424,516,-92,3119,2975,144,505,136,369
1,New South Wales,10250,Ballina,2023-24,407,556,-149,3423,2842,581,434,154,280
1,New South Wales,10250,Ballina,2024-25,438,485,-47,3055,2742,313,377,175,202
1,New South Wales,10300,Balranald,2021-22,25,17,8,209,197,12,13,5,8
1,New South Wales,10300,Balranald,2022-23,32,28,4,161,193,-32,22,6,16
1,New South Wales,10300,Balranald,2023-24,18,31,-13,164,132,32,19,6,13
1,New South Wales,10300,Balranald,2024-25,33,23,10,128,159,-31,16,7,9
1,New South Wales,10470,Bathurst,2021-22,575,389,186,3140,2946,194,269,123,146
1,New South Wales,10470,Bathurst,2022-23,538,359,179,2419,2375,44,349,97,252
1,New South Wales,10470,Bathurst,2023-24,530,415,115,2409,2400,9,313,113,200
1,New South Wales,10470,Bathurst,2024-25,540,333,207,2251,2263,-12,290,125,165
1,New South Wales,10500,Bayside (NSW),2021-22,2482,1185,1297,13370,15662,-2292,5831,2789,3042
1,New South Wales,10500,Bayside (NSW),2022-23,2181,1158,1023,10172,13630,-3458,9903,2489,7414
1,New South Wales,10500,Bayside (NSW),2023-24,2072,1163,909,10241,13827,-3586,8332,2849,5483
1,New South Wales,10500,Bayside (NSW),2024-25,2018,1093,925,9380,12523,-3143,7131,3204,3927
1,New South Wales,10550,Bega Valley,2021-22,332,379,-47,2405,2130,275,150,68,82
1,New South Wales,10550,Bega Valley,2022-23,314,375,-61,1914,1697,217,194,56,138
1,New South Wales,10550,Bega Valley,2023-24,289,391,-102,2046,1752,294,197,63,134
1,New South Wales,10550,Bega Valley,2024-25,324,409,-85,1714,1490,224,152,70,82
1,New South Wales,10600,Bellingen,2021-22,125,134,-9,1244,1175,69,72,32,40
1,New South Wales,10600,Bellingen,2022-23,93,140,-47,877,939,-62,96,25,71
1,New South Wales,10600,Bellingen,2023-24,105,129,-24,856,840,16,84,29,55
1,New South Wales,10600,Bellingen,2024-25,120,122,-2,806,807,-1,72,33,39
1,New South Wales,10650,Berrigan,2021-22,80,115,-35,631,530,101,56,25,31
1,New South Wales,10650,Berrigan,2022-23,80,139,-59,582,592,-10,76,20,56
1,New South Wales,10650,Berrigan,2023-24,78,112,-34,549,539,10,65,24,41
1,New South Wales,10650,Berrigan,2024-25,85,132,-47,568,494,74,56,26,30
1,New South Wales,10750,Blacktown,2021-22,6050,1983,4067,31046,26873,4173,6444,2975,3469
1,New South Wales,10750,Blacktown,2022-23,5866,2035,3831,25096,23000,2096,11701,2442,9259
1,New South Wales,10750,Blacktown,2023-24,5938,1969,3969,25735,23789,1946,9615,2798,6817
1,New South Wales,10750,Blacktown,2024-25,5915,1915,4000,23493,22654,839,8132,3138,4994
1,New South Wales,10800,Bland,2021-22,88,61,27,380,464,-84,20,10,10
1,New South Wales,10800,Bland,2022-23,78,62,16,313,378,-65,29,8,21
1,New South Wales,10800,Bland,2023-24,90,71,19,294,334,-40,25,8,17
1,New South Wales,10800,Bland,2024-25,84,62,22,245,288,-43,21,10,11
1,New South Wales,10850,Blayney,2021-22,93,51,42,571,533,38,26,12,14
1,New South Wales,10850,Blayney,2022-23,105,68,37,471,482,-11,34,10,24
1,New South Wales,10850,Blayney,2023-24,98,65,33,533,479,54,36,10,26
1,New South Wales,10850,Blayney,2024-25,87,66,21,533,504,29,25,12,13
1,New South Wales,10900,Blue Mountains,2021-22,690,618,72,4926,5701,-775,599,273,326
1,New South Wales,10900,Blue Mountains,2022-23,686,569,117,3836,4251,-415,987,217,770
1,New South Wales,10900,Blue Mountains,2023-24,648,609,39,3990,4275,-285,874,248,626
1,New South Wales,10900,Blue Mountains,2024-25,658,592,66,3534,3670,-136,738,279,459
1,New South Wales,10950,Bogan,2021-22,45,25,20,150,202,-52,13,6,7
1,New South Wales,10950,Bogan,2022-23,35,30,5,103,156,-53,15,5,10
1,New South Wales,10950,Bogan,2023-24,36,38,-2,155,173,-18,14,5,9
1,New South Wales,10950,Bogan,2024-25,49,28,21,100,162,-62,14,6,8
1,New South Wales,11150,Bourke,2021-22,39,29,10,242,318,-76,13,6,7
1,New South Wales,11150,Bourke,2022-23,44,20,24,169,184,-15,11,5,6
1,New South Wales,11150,Bourke,2023-24,61,23,38,179,228,-49,10,5,5
1,New South Wales,11150,Bourke,2024-25,47,27,20,140,223,-83,13,6,7
1,New South Wales,11200,Brewarrina,2021-22,27,21,6,81,150,-69,7,3,4
1,New South Wales,11200,Brewarrina,2022-23,18,16,2,140,172,-32,7,3,4
1,New South Wales,11200,Brewarrina,2023-24,17,19,-2,136,138,-2,6,3,3
1,New South Wales,11200,Brewarrina,2024-25,16,18,-2,140,148,-8,8,3,5
1,New South Wales,11250,Broken Hill,2021-22,223,241,-18,914,970,-56,71,33,38
1,New South Wales,11250,Broken Hill,2022-23,213,222,-9,828,827,1,87,26,61
1,New South Wales,11250,Broken Hill,2023-24,225,220,5,752,883,-131,76,30,46
1,New South Wales,11250,Broken Hill,2024-25,216,225,-9,670,784,-114,72,33,39
1,New South Wales,11300,Burwood,2021-22,340,263,77,3253,3935,-682,2112,1031,1081
1,New South Wales,11300,Burwood,2022-23,329,240,89,2237,3229,-992,3636,1087,2549
1,New South Wales,11300,Burwood,2023-24,320,229,91,2392,3441,-1049,2990,1242,1748
1,New South Wales,11300,Burwood,2024-25,306,245,61,2330,3000,-670,2573,1389,1184
1,New South Wales,11350,Byron,2021-22,374,234,140,3739,3559,180,604,285,319
1,New South Wales,11350,Byron,2022-23,327,236,91,2559,2615,-56,810,228,582
1,New South Wales,11350,Byron,2023-24,348,241,107,2721,2540,181,697,260,437
1,New South Wales,11350,Byron,2024-25,370,232,138,2663,2444,219,632,292,340
1,New South Wales,11400,Cabonne,2021-22,167,122,45,1111,1080,31,41,18,23
1,New South Wales,11400,Cabonne,2022-23,142,127,15,852,873,-21,55,14,41
