STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,421,8581,37405,47465,43592,44679,65913,248056,8.20%
VIC,277,17526,62828,60043,49039,43309,49570,282592,12.00%
QLD,252,10282,39948,45102,41914,39439,45834,222771,12.00%
SA,3089,14018,21080,19367,19085,19321,26126,122086,17.70%
WA,107,9691,36581,35243,31769,27979,30179,171549,17.30%
TAS,47,2207,5991,6172,6469,6554,6890,34330,16.50%
NT,4,489,2318,2084,1771,1249,730,8645,10.00%
ACT,35,1728,6068,5354,4129,3458,3815,24587,15.80%
TOTAL,4232,64522,212219,220830,197768,185988,229057,1114616,11.90%
