STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,405087,22.42%,0.34%
VIC,453415,25.09%,0.32%
QLD,356224,19.71%,0.21%
SA,206107,11.41%,0.49%
WA,277984,15.38%,0.09%
TAS,54554,3.02%,0.04%
NT,13499,0.75%,-0.02%
ACT,40238,2.23%,0.27%
TOTAL,1807108,100.00%,0.28%
