STATE,16-17,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,160,3261,16719,24640,27652,30385,54214,157031,5.40%
VIC,81,5824,29179,33812,31992,30172,39763,170823,7.50%
QLD,62,3017,16541,22779,25637,26509,38908,133453,7.40%
SA,2961,9395,11859,11637,13004,13540,21625,84021,12.60%
WA,29,3688,17026,19793,20637,19731,25531,106435,10.50%
TAS,4,678,2656,3078,3669,4381,5758,20224,10.00%
NT,1,133,859,1054,1091,1006,710,4854,4.90%
ACT,8,686,3156,3204,2948,2602,3047,15651,10.40%
TOTAL,3306,26682,97995,119997,126630,128326,189556,692492,7.60%
