STATE,Total Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),State % of Legally Valid Consent Registrations (Including Intent Registrations of 16 & 17 year olds),% Variance from previous month
NSW,240251,24.73%,3.61%
VIC,233122,23.99%,1.97%
QLD,210764,21.69%,1.24%
SA,92993,9.57%,1.47%
WA,146701,15.10%,1.34%
TAS,24996,2.57%,3.26%
NT,5929,0.61%,9.43%
ACT,16931,1.74%,1.41%
TOTAL,971687,100.00%,2.13%
