STATE,Grand Total Intent Registrations,State % of Total Intent Registrations,% Variance from previous month
NSW,2081904,47.15%,-0.11%
VIC,464798,10.53%,-0.22%
QLD,641285,14.52%,-0.15%
SA,546193,12.37%,-0.14%
WA,492397,11.15%,-0.24%
TAS,152666,3.46%,-0.43%
NT,9816,0.22%,-0.61%
ACT,26505,0.60%,-0.36%
TOTAL,4415564,100.00%,-0.16%
