STATE,18-24,25-34,35-44,45-54,55-64,65+,Total,% of ABS Estimated Population
NSW,83951,225437,247496,216980,143980,107628,1025472,37.72%
VIC,20515,69735,62270,51849,36285,26122,266776,13.06%
QLD,59795,81869,72953,48537,29629,16796,309579,19.82%
SA,31843,55634,58110,56370,40438,28526,270921,43.03%
WA,8861,51653,64022,57113,38896,28525,249070,31.39%
TAS,1993,14817,18661,18447,12359,10120,76397,39.08%
NT,470,1573,1701,1175,679,219,5817,8.29%
ACT,1194,3735,3636,3132,2229,1361,15287,11.63%
TOTAL,208622,504453,528849,453603,304495,219297,2219319,27.25%
