category,unit,breakdown,value
2024-25 > Real expenditure on care services,$'000,NSW,1945664
2024-25 > Real expenditure on care services,$'000,Vic,1174769
2024-25 > Real expenditure on care services,$'000,Qld,2012981
2024-25 > Real expenditure on care services,$'000,WA,684131
2024-25 > Real expenditure on care services,$'000,SA,801304
2024-25 > Real expenditure on care services,$'000,Tas,135884
2024-25 > Real expenditure on care services,$'000,ACT,100893
2024-25 > Real expenditure on care services,$'000,NT,149464
2024-25 > Real expenditure on care services,$'000,Aust,4992108
2024-25 > Placement nights in care services,no.,NSW,4979459
2024-25 > Placement nights in care services,no.,Vic,3399308
2024-25 > Placement nights in care services,no.,Qld,na
2024-25 > Placement nights in care services,no.,WA,1715578
2024-25 > Placement nights in care services,no.,SA,1786727
2024-25 > Placement nights in care services,no.,Tas,427966
2024-25 > Placement nights in care services,no.,ACT,274507
2024-25 > Placement nights in care services,no.,NT,294544
2024-25 > Placement nights in care services,no.,Aust,12878089
2024-25 > Real expenditure on care services per placement night,$,NSW,390.74
2024-25 > Real expenditure on care services per placement night,$,Vic,345.59
2024-25 > Real expenditure on care services per placement night,$,Qld,na
2024-25 > Real expenditure on care services per placement night,$,WA,398.78
2024-25 > Real expenditure on care services per placement night,$,SA,448.48
2024-25 > Real expenditure on care services per placement night,$,Tas,317.51
2024-25 > Real expenditure on care services per placement night,$,ACT,367.54
2024-25 > Real expenditure on care services per placement night,$,NT,507.44
2024-25 > Real expenditure on care services per placement night,$,Aust,387.64
2023-24 > Real expenditure on care services,$'000,NSW,2037107
2023-24 > Real expenditure on care services,$'000,Vic,1154089
2023-24 > Real expenditure on care services,$'000,Qld,1734788
2023-24 > Real expenditure on care services,$'000,WA,667180
2023-24 > Real expenditure on care services,$'000,SA,771803
2023-24 > Real expenditure on care services,$'000,Tas,119194
2023-24 > Real expenditure on care services,$'000,ACT,90887
2023-24 > Real expenditure on care services,$'000,NT,161479
2023-24 > Real expenditure on care services,$'000,Aust,6736527
2023-24 > Placement nights in care services,no.,NSW,5167669
2023-24 > Placement nights in care services,no.,Vic,3308476
2023-24 > Placement nights in care services,no.,Qld,4286125
2023-24 > Placement nights in care services,no.,WA,1693575
2023-24 > Placement nights in care services,no.,SA,1788585
2023-24 > Placement nights in care services,no.,Tas,435344
2023-24 > Placement nights in care services,no.,ACT,286965
2023-24 > Placement nights in care services,no.,NT,310091
2023-24 > Placement nights in care services,no.,Aust,17276830
2023-24 > Real expenditure on care services per placement night,$,NSW,394.2
2023-24 > Real expenditure on care services per placement night,$,Vic,348.83
2023-24 > Real expenditure on care services per placement night,$,Qld,404.74
2023-24 > Real expenditure on care services per placement night,$,WA,393.95
2023-24 > Real expenditure on care services per placement night,$,SA,431.52
2023-24 > Real expenditure on care services per placement night,$,Tas,273.79
2023-24 > Real expenditure on care services per placement night,$,ACT,316.72
2023-24 > Real expenditure on care services per placement night,$,NT,520.75
2023-24 > Real expenditure on care services per placement night,$,Aust,389.92
2022-23 > Real expenditure on care services,$'000,NSW,1984896
2022-23 > Real expenditure on care services,$'000,Vic,1099620
2022-23 > Real expenditure on care services,$'000,Qld,1553707
2022-23 > Real expenditure on care services,$'000,WA,567088
2022-23 > Real expenditure on care services,$'000,SA,719005
2022-23 > Real expenditure on care services,$'000,Tas,105875
2022-23 > Real expenditure on care services,$'000,ACT,87655
