category,unit,breakdown,value
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Aboriginal and Torres Strait Islander children,no.,NSW,4685
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Aboriginal and Torres Strait Islander children,no.,Vic,1683
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Aboriginal and Torres Strait Islander children,no.,Qld,na
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Aboriginal and Torres Strait Islander children,no.,WA,1685
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Aboriginal and Torres Strait Islander children,no.,SA,1214
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Aboriginal and Torres Strait Islander children,no.,Tas,282
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Aboriginal and Torres Strait Islander children,no.,ACT,121
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Aboriginal and Torres Strait Islander children,no.,NT,357
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Aboriginal and Torres Strait Islander children,no.,Aust,10027
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Non-Indigenous children,no.,NSW,5513
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Non-Indigenous children,no.,Vic,3203
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Non-Indigenous children,no.,Qld,na
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Non-Indigenous children,no.,WA,1101
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Non-Indigenous children,no.,SA,1869
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Non-Indigenous children,no.,Tas,332
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Non-Indigenous children,no.,ACT,280
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Non-Indigenous children,no.,NT,44
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > Non-Indigenous children,no.,Aust,12342
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > All children,no.,NSW,10198
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > All children,no.,Vic,4886
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > All children,no.,Qld,na
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > All children,no.,WA,2786
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > All children,no.,SA,3083
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > All children,no.,Tas,614
Children in out-of-home care at 30 June > 2 years or more in care > 2025 > Number of children > 1–2 placements in the last two years > All children,no.,ACT,401
