category,unit,breakdown,value
"2025 > Children with a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,NSW,5367
"2025 > Children with a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,Vic,2231
"2025 > Children with a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,Qld,na
"2025 > Children with a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,WA,2140
"2025 > Children with a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,SA,1506
"2025 > Children with a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,Tas,232
"2025 > Children with a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,ACT,139
"2025 > Children with a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,NT,730
"2025 > Children with a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,Aust,12345
"2025 > Children with a current documented case plan, at 30 June > Number of children > Non-Indigenous children",no.,NSW,5955
"2025 > Children with a current documented case plan, at 30 June > Number of children > Non-Indigenous children",no.,Vic,4143
"2025 > Children with a current documented case plan, at 30 June > Number of children > Non-Indigenous children",no.,Qld,na
"2025 > Children with a current documented case plan, at 30 June > Number of children > Non-Indigenous children",no.,WA,1465
"2025 > Children with a current documented case plan, at 30 June > Number of children > Non-Indigenous children",no.,SA,2411
"2025 > Children with a current documented case plan, at 30 June > Number of children > Non-Indigenous children",no.,Tas,288
"2025 > Children with a current documented case plan, at 30 June > Number of children > Non-Indigenous children",no.,ACT,285
"2025 > Children with a current documented case plan, at 30 June > Number of children > Non-Indigenous children",no.,NT,81
"2025 > Children with a current documented case plan, at 30 June > Number of children > Non-Indigenous children",no.,Aust,14628
"2025 > Children with a current documented case plan, at 30 June > Number of children > Children of unknown Indigenous status",no.,NSW,7
"2025 > Children with a current documented case plan, at 30 June > Number of children > Children of unknown Indigenous status",no.,Vic,0
"2025 > Children with a current documented case plan, at 30 June > Number of children > Children of unknown Indigenous status",no.,Qld,na
"2025 > Children with a current documented case plan, at 30 June > Number of children > Children of unknown Indigenous status",no.,WA,1
"2025 > Children with a current documented case plan, at 30 June > Number of children > Children of unknown Indigenous status",no.,SA,14
"2025 > Children with a current documented case plan, at 30 June > Number of children > Children of unknown Indigenous status",no.,Tas,0
"2025 > Children with a current documented case plan, at 30 June > Number of children > Children of unknown Indigenous status",no.,ACT,0
"2025 > Children with a current documented case plan, at 30 June > Number of children > Children of unknown Indigenous status",no.,NT,2
"2025 > Children with a current documented case plan, at 30 June > Number of children > Children of unknown Indigenous status",no.,Aust,24
"2025 > Children with a current documented case plan, at 30 June > Number of children > All children",no.,NSW,11329
"2025 > Children with a current documented case plan, at 30 June > Number of children > All children",no.,Vic,6374
"2025 > Children with a current documented case plan, at 30 June > Number of children > All children",no.,Qld,na
"2025 > Children with a current documented case plan, at 30 June > Number of children > All children",no.,WA,3606
"2025 > Children with a current documented case plan, at 30 June > Number of children > All children",no.,SA,3931
"2025 > Children with a current documented case plan, at 30 June > Number of children > All children",no.,Tas,520
"2025 > Children with a current documented case plan, at 30 June > Number of children > All children",no.,ACT,424
"2025 > Children with a current documented case plan, at 30 June > Number of children > All children",no.,NT,813
"2025 > Children with a current documented case plan, at 30 June > Number of children > All children",no.,Aust,26997
"2025 > Children required to have a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,NSW,6110
"2025 > Children required to have a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,Vic,2236
"2025 > Children required to have a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,Qld,na
"2025 > Children required to have a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,WA,2762
"2025 > Children required to have a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,SA,1745
"2025 > Children required to have a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,Tas,482
"2025 > Children required to have a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,ACT,176
"2025 > Children required to have a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,NT,793
"2025 > Children required to have a current documented case plan, at 30 June > Number of children > Aboriginal and Torres Strait Islander children",no.,Aust,14304
"2025 > Children required to have a current documented case plan, at 30 June > Number of children > Non-Indigenous children",no.,NSW,6607
"2025 > Children required to have a current documented case plan, at 30 June > Number of children > Non-Indigenous children",no.,Vic,4151
"2025 > Children required to have a current documented case plan, at 30 June > Number of children > Non-Indigenous children",no.,Qld,na
"2025 > Children required to have a current documented case plan, at 30 June > Number of children > Non-Indigenous children",no.,WA,1800
"2025 > Children required to have a current documented case plan, at 30 June > Number of children > Non-Indigenous children",no.,SA,2632
"2025 > Children required to have a current documented case plan, at 30 June > Number of children > Non-Indigenous children",no.,Tas,572
"2025 > Children required to have a current documented case plan, at 30 June > Number of children > Non-Indigenous children",no.,ACT,394
