category,unit,breakdown,value
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Admitted for the first time,no.,NSW,669
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Admitted for the first time,no.,Vic,706
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Admitted for the first time,no.,Qld,na
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Admitted for the first time,no.,WA,343
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Admitted for the first time,no.,SA,223
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Admitted for the first time,no.,Tas,85
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Admitted for the first time,no.,ACT,24
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Admitted for the first time,no.,NT,165
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Had prior admissions to orders,no.,NSW,114
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Had prior admissions to orders,no.,Vic,338
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Had prior admissions to orders,no.,Qld,na
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Had prior admissions to orders,no.,WA,219
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Had prior admissions to orders,no.,SA,45
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Had prior admissions to orders,no.,Tas,17
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Had prior admissions to orders,no.,ACT,6
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Had prior admissions to orders,no.,NT,np
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Total children admitted,no.,NSW,783
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Total children admitted,no.,Vic,1044
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Total children admitted,no.,Qld,na
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Total children admitted,no.,WA,562
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Total children admitted,no.,SA,268
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Total children admitted,no.,Tas,102
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Total children admitted,no.,ACT,30
2024-25 > Aboriginal and Torres Strait Islander children > Children admitted to care and protection orders > Total children admitted,no.,NT,167
2024-25 > Aboriginal and Torres Strait Islander children > Children discharged from care and protection orders,no.,NSW,939
2024-25 > Aboriginal and Torres Strait Islander children > Children discharged from care and protection orders,no.,Vic,861
2024-25 > Aboriginal and Torres Strait Islander children > Children discharged from care and protection orders,no.,Qld,na
2024-25 > Aboriginal and Torres Strait Islander children > Children discharged from care and protection orders,no.,WA,652
2024-25 > Aboriginal and Torres Strait Islander children > Children discharged from care and protection orders,no.,SA,226
