category,unit,breakdown,value
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Residential care,no.,NSW,412
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Residential care,no.,Vic,142
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Residential care,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Residential care,no.,WA,199
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Residential care,no.,SA,283
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Residential care,no.,Tas,40
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Residential care,no.,ACT,8
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Residential care,no.,NT,np
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Residential care,no.,Aust,1084
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Family group homes,no.,NSW,0
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Family group homes,no.,Vic,0
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Family group homes,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Family group homes,no.,WA,132
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Family group homes,no.,SA,0
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Family group homes,no.,Tas,0
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Family group homes,no.,ACT,0
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Family group homes,no.,NT,np
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Family group homes,no.,Aust,132
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Foster care,no.,NSW,2164
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Foster care,no.,Vic,426
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Foster care,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Foster care,no.,WA,1023
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Foster care,no.,SA,472
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Foster care,no.,Tas,193
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Foster care,no.,ACT,43
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Foster care,no.,NT,231
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Foster care,no.,Aust,4552
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Relative/kinship care,no.,NSW,3649
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Relative/kinship care,no.,Vic,2459
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Relative/kinship care,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Relative/kinship care,no.,WA,1445
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Relative/kinship care,no.,SA,999
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Relative/kinship care,no.,Tas,205
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Relative/kinship care,no.,ACT,111
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Relative/kinship care,no.,NT,67
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Relative/kinship care,no.,Aust,8935
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Other home based care,no.,NSW,9
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Other home based care,no.,Vic,14
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Other home based care,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Other home based care,no.,WA,0
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Other home based care,no.,SA,31
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Other home based care,no.,Tas,0
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Other home based care,no.,ACT,0
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Other home based care,no.,NT,376
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Other home based care,no.,Aust,430
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Total home-based,no.,NSW,5822
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Total home-based,no.,Vic,2899
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Total home-based,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Total home-based,no.,WA,2468
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Total home-based,no.,SA,1502
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Total home-based,no.,Tas,398
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Home-based care > Total home-based,no.,ACT,154
