category,unit,breakdown,value
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Care and protection order,no.,NSW,6262
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Care and protection order,no.,Vic,2553
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Care and protection order,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Care and protection order,no.,WA,2654
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Care and protection order,no.,SA,1766
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Care and protection order,no.,Tas,np
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Care and protection order,no.,ACT,178
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Care and protection order,no.,NT,730
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Another type of order,no.,NSW,0
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Another type of order,no.,Vic,0
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Another type of order,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Another type of order,no.,WA,0
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Another type of order,no.,SA,0
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Another type of order,no.,Tas,0
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Another type of order,no.,ACT,0
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Another type of order,no.,NT,0
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Not on an order,no.,NSW,63
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Not on an order,no.,Vic,494
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Not on an order,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Not on an order,no.,WA,174
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Not on an order,no.,SA,19
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Not on an order,no.,Tas,np
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Not on an order,no.,ACT,5
2025 > Children in out-of-home care at 30 June > Aboriginal and Torres Strait Islander children > Not on an order,no.,NT,np
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Care and protection order,no.,NSW,7165
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Care and protection order,no.,Vic,4727
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Care and protection order,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Care and protection order,no.,WA,1761
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Care and protection order,no.,SA,2667
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Care and protection order,no.,Tas,531
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Care and protection order,no.,ACT,422
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Care and protection order,no.,NT,86
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Another type of order,no.,NSW,0
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Another type of order,no.,Vic,0
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Another type of order,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Another type of order,no.,WA,0
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Another type of order,no.,SA,0
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Another type of order,no.,Tas,0
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Another type of order,no.,ACT,0
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Another type of order,no.,NT,0
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Not on an order,no.,NSW,77
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Not on an order,no.,Vic,1623
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Not on an order,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Not on an order,no.,WA,124
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Not on an order,no.,SA,16
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Not on an order,no.,Tas,6
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Not on an order,no.,ACT,7
2025 > Children in out-of-home care at 30 June > Non-Indigenous children > Not on an order,no.,NT,np
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Care and protection order,no.,NSW,10
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Care and protection order,no.,Vic,0
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Care and protection order,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Care and protection order,no.,WA,2
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Care and protection order,no.,SA,14
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Care and protection order,no.,Tas,np
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Care and protection order,no.,ACT,1
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Care and protection order,no.,NT,2
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Another type of order,no.,NSW,0
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Another type of order,no.,Vic,0
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Another type of order,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Another type of order,no.,WA,0
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Another type of order,no.,SA,0
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Another type of order,no.,Tas,0
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Another type of order,no.,ACT,0
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Another type of order,no.,NT,0
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Not on an order,no.,NSW,2
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Not on an order,no.,Vic,1
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Not on an order,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Not on an order,no.,WA,1
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Not on an order,no.,SA,0
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Not on an order,no.,Tas,np
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Not on an order,no.,ACT,0
2025 > Children in out-of-home care at 30 June > Children of unknown Indigenous status > Not on an order,no.,NT,0
2025 > Children in out-of-home care at 30 June > All children > Care and protection order,no.,NSW,13437
2025 > Children in out-of-home care at 30 June > All children > Care and protection order,no.,Vic,7280
2025 > Children in out-of-home care at 30 June > All children > Care and protection order,no.,Qld,na
2025 > Children in out-of-home care at 30 June > All children > Care and protection order,no.,WA,4417
2025 > Children in out-of-home care at 30 June > All children > Care and protection order,no.,SA,4447
2025 > Children in out-of-home care at 30 June > All children > Care and protection order,no.,Tas,969
2025 > Children in out-of-home care at 30 June > All children > Care and protection order,no.,ACT,601
2025 > Children in out-of-home care at 30 June > All children > Care and protection order,no.,NT,818
2025 > Children in out-of-home care at 30 June > All children > Another type of order,no.,NSW,0
2025 > Children in out-of-home care at 30 June > All children > Another type of order,no.,Vic,0
2025 > Children in out-of-home care at 30 June > All children > Another type of order,no.,Qld,na
2025 > Children in out-of-home care at 30 June > All children > Another type of order,no.,WA,0
