category,unit,breakdown,value
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Aboriginal and Torres Strait Islander children,no.,NSW,264
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Aboriginal and Torres Strait Islander children,no.,Vic,587
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Aboriginal and Torres Strait Islander children,no.,Qld,na
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Aboriginal and Torres Strait Islander children,no.,WA,232
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Aboriginal and Torres Strait Islander children,no.,SA,82
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Aboriginal and Torres Strait Islander children,no.,Tas,47
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Aboriginal and Torres Strait Islander children,no.,ACT,32
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Aboriginal and Torres Strait Islander children,no.,NT,24
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Aboriginal and Torres Strait Islander children,no.,Aust,1268
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Non-Indigenous children,no.,NSW,454
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Non-Indigenous children,no.,Vic,1855
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Non-Indigenous children,no.,Qld,na
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Non-Indigenous children,no.,WA,212
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Non-Indigenous children,no.,SA,156
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Non-Indigenous children,no.,Tas,56
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Non-Indigenous children,no.,ACT,63
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Non-Indigenous children,no.,NT,6
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Non-Indigenous children,no.,Aust,2802
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Children of unknown Indigenous status,no.,NSW,4
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Children of unknown Indigenous status,no.,Vic,0
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Children of unknown Indigenous status,no.,Qld,na
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Children of unknown Indigenous status,no.,WA,0
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Children of unknown Indigenous status,no.,SA,0
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Children of unknown Indigenous status,no.,Tas,3
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Children of unknown Indigenous status,no.,ACT,1
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Children of unknown Indigenous status,no.,NT,0
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > Children of unknown Indigenous status,no.,Aust,8
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > All children,no.,NSW,722
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > All children,no.,Vic,2442
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > All children,no.,Qld,na
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > All children,no.,WA,444
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > All children,no.,SA,238
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > All children,no.,Tas,106
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > All children,no.,ACT,96
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > All children,no.,NT,30
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Total > All children,no.,Aust,4078
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Who did not return to out-of-home care within 12 months > Aboriginal and Torres Strait Islander children,no.,NSW,239
Children exiting out-of-home care to a permanency arrangement > 2023-24 > Number of children > Who did not return to out-of-home care within 12 months > Aboriginal and Torres Strait Islander children,no.,Vic,488
