category,unit,breakdown,value
Qld > 2022-23,ratio,Finalised investigations,3.45
Qld > 2022-23,ratio,Substantiations,3.94
Qld > 2022-23,ratio,Care and protection orders,4.99
Qld > 2022-23,ratio,Out-of-home care,5.13
Qld > 2021-22,ratio,Notifications,3.44
Qld > 2021-22,ratio,Commencing IFSS,5.15
Qld > 2021-22,ratio,Finalised investigations,3.54
Qld > 2021-22,ratio,Substantiations,3.92
Qld > 2021-22,ratio,Care and protection orders,4.89
Qld > 2021-22,ratio,Out-of-home care,5.02
Qld > 2020-21,ratio,Notifications,3.5
Qld > 2020-21,ratio,Commencing IFSS,4.91
Qld > 2020-21,ratio,Finalised investigations,3.42
Qld > 2020-21,ratio,Substantiations,3.62
Qld > 2020-21,ratio,Care and protection orders,4.79
Qld > 2020-21,ratio,Out-of-home care,4.9
Qld > 2019-20,ratio,Notifications,3.65
Qld > 2019-20,ratio,Commencing IFSS,4.9
Qld > 2019-20,ratio,Finalised investigations,3.6
Qld > 2019-20,ratio,Substantiations,4.01
Qld > 2019-20,ratio,Care and protection orders,4.74
Qld > 2019-20,ratio,Out-of-home care,4.8
Qld > 2018-19,ratio,Notifications,3.74
Qld > 2018-19,ratio,Commencing IFSS,na
Qld > 2018-19,ratio,Finalised investigations,3.67
Qld > 2018-19,ratio,Substantiations,4.18
Qld > 2018-19,ratio,Care and protection orders,4.68
Qld > 2018-19,ratio,Out-of-home care,4.79
Qld > 2017-18,ratio,Notifications,3.6
Qld > 2017-18,ratio,Commencing IFSS,4
Qld > 2017-18,ratio,Finalised investigations,3.56
Qld > 2017-18,ratio,Substantiations,4.05
Qld > 2017-18,ratio,Care and protection orders,4.64
Qld > 2017-18,ratio,Out-of-home care,4.6
WA > 2024-25,ratio,Notifications,5.5
WA > 2024-25,ratio,Commencing IFSS,8.97
WA > 2024-25,ratio,Finalised investigations,5.83
WA > 2024-25,ratio,Substantiations,6.47
WA > 2024-25,ratio,Care and protection orders,8.1
WA > 2024-25,ratio,Out-of-home care,8.24
WA > 2023-24,ratio,Notifications,5.44
WA > 2023-24,ratio,Commencing IFSS,9.53
WA > 2023-24,ratio,Finalised investigations,5.61
WA > 2023-24,ratio,Substantiations,6.47
WA > 2023-24,ratio,Care and protection orders,8.05
WA > 2023-24,ratio,Out-of-home care,8.18
WA > 2022-23,ratio,Notifications,5.46
WA > 2022-23,ratio,Commencing IFSS,9.25
WA > 2022-23,ratio,Finalised investigations,5.43
WA > 2022-23,ratio,Substantiations,6.46
WA > 2022-23,ratio,Care and protection orders,7.91
WA > 2022-23,ratio,Out-of-home care,8.16
WA > 2021-22,ratio,Notifications,5.24
WA > 2021-22,ratio,Commencing IFSS,8.74
WA > 2021-22,ratio,Finalised investigations,5.08
WA > 2021-22,ratio,Substantiations,6
WA > 2021-22,ratio,Care and protection orders,7.76
WA > 2021-22,ratio,Out-of-home care,7.94
WA > 2020-21,ratio,Notifications,4.9
WA > 2020-21,ratio,Commencing IFSS,8.1
WA > 2020-21,ratio,Finalised investigations,4.89
WA > 2020-21,ratio,Substantiations,5.76
WA > 2020-21,ratio,Care and protection orders,7.73
WA > 2020-21,ratio,Out-of-home care,7.85
WA > 2019-20,ratio,Notifications,4.65
WA > 2019-20,ratio,Commencing IFSS,6.97
WA > 2019-20,ratio,Finalised investigations,4.96
WA > 2019-20,ratio,Substantiations,5.93
WA > 2019-20,ratio,Care and protection orders,7.49
WA > 2019-20,ratio,Out-of-home care,7.67
WA > 2018-19,ratio,Notifications,4.35
WA > 2018-19,ratio,Commencing IFSS,6.93
