category,unit,breakdown,value
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per report to child protection,$,2015-16,307
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per report to child protection,$,2016-17,282
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per report to child protection,$,2017-18,254
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per report to child protection,$,2018-19,243
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per report to child protection,$,2019-20,241
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per report to child protection,$,2020-21,217
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per report to child protection,$,2021-22,232
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per report to child protection,$,2022-23,222
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per report to child protection,$,2023-24,233
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per report to child protection,$,2024-25,na
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per notification,$,2015-16,1351
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per notification,$,2016-17,1345
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per notification,$,2017-18,1281
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per notification,$,2018-19,1167
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per notification,$,2019-20,1177
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per notification,$,2020-21,1028
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per notification,$,2021-22,943
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per notification,$,2022-23,904
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per notification,$,2023-24,816
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Cost per notification,$,2024-25,na
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Proportion of total expenditure,%,2015-16,2.7
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Proportion of total expenditure,%,2016-17,2.5
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Proportion of total expenditure,%,2017-18,2.3
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Proportion of total expenditure,%,2018-19,2.1
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Proportion of total expenditure,%,2019-20,2
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Proportion of total expenditure,%,2020-21,1.6
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Proportion of total expenditure,%,2021-22,1.5
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Proportion of total expenditure,%,2022-23,1.4
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Proportion of total expenditure,%,2023-24,1.4
Activity group 1: Receipt and assessment of initial information about a potential protection and support issues > AG1: Proportion of total expenditure,%,2024-25,1.3
Activity group 2: Provision of generic family support services > AG2: Cost per child receiving family support services,$,2015-16,na
Activity group 2: Provision of generic family support services > AG2: Cost per child receiving family support services,$,2016-17,3166
Activity group 2: Provision of generic family support services > AG2: Cost per child receiving family support services,$,2017-18,2598
Activity group 2: Provision of generic family support services > AG2: Cost per child receiving family support services,$,2018-19,na
Activity group 2: Provision of generic family support services > AG2: Cost per child receiving family support services,$,2019-20,2263
Activity group 2: Provision of generic family support services > AG2: Cost per child receiving family support services,$,2020-21,2211
Activity group 2: Provision of generic family support services > AG2: Cost per child receiving family support services,$,2021-22,2161
Activity group 2: Provision of generic family support services > AG2: Cost per child receiving family support services,$,2022-23,2102
Activity group 2: Provision of generic family support services > AG2: Cost per child receiving family support services,$,2023-24,2379
Activity group 2: Provision of generic family support services > AG2: Cost per child receiving family support services,$,2024-25,2860
Activity group 2: Provision of generic family support services > AG2: Proportion of total expenditure,%,2015-16,6.1
Activity group 2: Provision of generic family support services > AG2: Proportion of total expenditure,%,2016-17,7.7
Activity group 2: Provision of generic family support services > AG2: Proportion of total expenditure,%,2017-18,7.3
