category,unit,breakdown,value
2024-25 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,NSW,478
2024-25 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Vic,304
2024-25 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Qld,na
2024-25 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,WA,3
2024-25 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,SA,96
2024-25 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Tas,35
2024-25 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,ACT,np
2024-25 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,NT,34
2024-25 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,NSW,15843
2024-25 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Vic,16409
2024-25 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Qld,na
2024-25 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,WA,5604
2024-25 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,SA,5549
2024-25 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Tas,1360
2024-25 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,ACT,866
2024-25 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,NT,1042
2024-25 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,NSW,3
2024-25 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Vic,1.9
2024-25 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Qld,na
2024-25 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,WA,0.1
2024-25 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,SA,1.7
2024-25 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Tas,2.6
2024-25 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,ACT,np
2024-25 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,NT,3.3
2023-24 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,NSW,449
2023-24 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Vic,283
2023-24 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Qld,na
2023-24 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,WA,1
2023-24 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,SA,105
2023-24 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Tas,23
2023-24 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,ACT,12
2023-24 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,NT,np
2023-24 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,NSW,16352
2023-24 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Vic,12436
2023-24 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Qld,14422
2023-24 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,WA,5609
2023-24 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,SA,5549
2023-24 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Tas,1380
2023-24 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,ACT,929
2023-24 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,NT,np
2023-24 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,NSW,2.7
2023-24 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Vic,2.3
2023-24 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Qld,na
2023-24 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,WA,0
2023-24 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,SA,1.9
2023-24 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Tas,1.7
2023-24 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,ACT,1.3
2023-24 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,NT,0.5
2022-23 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,NSW,556
2022-23 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Vic,192
2022-23 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Qld,na
2022-23 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,WA,1
2022-23 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,SA,43
2022-23 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Tas,np
2022-23 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,ACT,np
2022-23 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,NT,na
2022-23 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,NSW,17092
2022-23 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Vic,12629
2022-23 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Qld,13989
2022-23 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,WA,5439
2022-23 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,SA,5494
2022-23 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Tas,1405
2022-23 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,ACT,951
2022-23 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,NT,1095
2022-23 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,NSW,3.3
2022-23 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Vic,1.5
2022-23 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Qld,na
2022-23 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,WA,0
2022-23 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,SA,0.8
2022-23 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Tas,0.1
2022-23 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,ACT,0.1
2022-23 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,NT,na
2021-22 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,NSW,546
2021-22 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Vic,241
2021-22 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Qld,na
2021-22 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,WA,0
2021-22 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,SA,33
2021-22 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Tas,7
2021-22 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,ACT,9
2021-22 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,NT,na
2021-22 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,NSW,17688
2021-22 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Vic,12493
2021-22 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Qld,13612
2021-22 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,WA,5420
2021-22 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,SA,5335
2021-22 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Tas,1424
2021-22 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,ACT,939
2021-22 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,NT,1136
2021-22 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,NSW,3.1
2021-22 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Vic,1.9
2021-22 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Qld,na
2021-22 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,WA,0
2021-22 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,SA,0.6
2021-22 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Tas,0.5
2021-22 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,ACT,1
2021-22 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,NT,na
2020-21 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,NSW,526
2020-21 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Vic,227
2020-21 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Qld,na
2020-21 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,WA,3
2020-21 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,SA,30
2020-21 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Tas,24
2020-21 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,ACT,7
2020-21 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,NT,na
2020-21 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,NSW,18392
2020-21 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Vic,12841
2020-21 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Qld,13275
2020-21 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,WA,5689
2020-21 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,SA,5163
2020-21 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Tas,1480
2020-21 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,ACT,936
2020-21 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,NT,1242
2020-21 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,NSW,2.9
2020-21 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Vic,1.8
2020-21 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Qld,na
2020-21 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,WA,0.1
2020-21 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,SA,0.6
2020-21 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Tas,1.6
2020-21 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,ACT,0.7
2020-21 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,NT,na
2019-20 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,NSW,670
2019-20 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Vic,184
2019-20 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Qld,na
2019-20 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,WA,2
2019-20 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,SA,20
2019-20 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Tas,8
2019-20 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,ACT,19
2019-20 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,NT,na
2019-20 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,NSW,22314
2019-20 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Vic,15349
2019-20 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Qld,12594
2019-20 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,WA,5821
2019-20 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,SA,4890
2019-20 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,Tas,1525
2019-20 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,ACT,906
2019-20 > Number of children > Children in at least one out-of-home care or other supported placement during the year,no.,NT,1268
2019-20 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,NSW,3
2019-20 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Vic,1.2
2019-20 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Qld,na
2019-20 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,WA,0
2019-20 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,SA,0.4
2019-20 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,Tas,0.5
2019-20 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,ACT,2.1
2019-20 > Proportion of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,%,NT,na
2018-19 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,NSW,434
2018-19 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Vic,105
2018-19 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,Qld,na
2018-19 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,WA,0
2018-19 > Number of children > Children in care who were the subject of a substantiation and the person responsible was in the household providing out-of-home care,no.,SA,175
