category,unit,breakdown,value
Number of households with a placement at 30 June > 2024,no.,NSW,3018
Number of households with a placement at 30 June > 2024,no.,Vic,805
Number of households with a placement at 30 June > 2024,no.,Qld,1880
Number of households with a placement at 30 June > 2024,no.,WA,837
Number of households with a placement at 30 June > 2024,no.,SA,826
Number of households with a placement at 30 June > 2024,no.,Tas,229
Number of households with a placement at 30 June > 2024,no.,ACT,143
Number of households with a placement at 30 June > 2024,no.,NT,242
Number of households with a placement at 30 June > 2024,no.,Aust,7980
Number of households with a placement at 30 June > 2023,no.,NSW,3244
Number of households with a placement at 30 June > 2023,no.,Vic,866
Number of households with a placement at 30 June > 2023,no.,Qld,1854
Number of households with a placement at 30 June > 2023,no.,WA,864
Number of households with a placement at 30 June > 2023,no.,SA,853
Number of households with a placement at 30 June > 2023,no.,Tas,249
Number of households with a placement at 30 June > 2023,no.,ACT,148
Number of households with a placement at 30 June > 2023,no.,NT,247
Number of households with a placement at 30 June > 2023,no.,Aust,8325
Number of households with a placement at 30 June > 2022,no.,NSW,3524
Number of households with a placement at 30 June > 2022,no.,Vic,928
Number of households with a placement at 30 June > 2022,no.,Qld,1963
Number of households with a placement at 30 June > 2022,no.,WA,883
Number of households with a placement at 30 June > 2022,no.,SA,832
Number of households with a placement at 30 June > 2022,no.,Tas,253
Number of households with a placement at 30 June > 2022,no.,ACT,159
Number of households with a placement at 30 June > 2022,no.,NT,113
Number of households with a placement at 30 June > 2022,no.,Aust,8655
Number of households with a placement at 30 June > 2021,no.,NSW,3671
Number of households with a placement at 30 June > 2021,no.,Vic,981
Number of households with a placement at 30 June > 2021,no.,Qld,1980
Number of households with a placement at 30 June > 2021,no.,WA,947
Number of households with a placement at 30 June > 2021,no.,SA,875
Number of households with a placement at 30 June > 2021,no.,Tas,269
Number of households with a placement at 30 June > 2021,no.,ACT,158
Number of households with a placement at 30 June > 2021,no.,NT,141
Number of households with a placement at 30 June > 2021,no.,Aust,9022
Number of households with a placement at 30 June > 2020,no.,NSW,3778
Number of households with a placement at 30 June > 2020,no.,Vic,1024
Number of households with a placement at 30 June > 2020,no.,Qld,1992
Number of households with a placement at 30 June > 2020,no.,WA,943
Number of households with a placement at 30 June > 2020,no.,SA,856
Number of households with a placement at 30 June > 2020,no.,Tas,275
Number of households with a placement at 30 June > 2020,no.,ACT,165
Number of households with a placement at 30 June > 2020,no.,NT,169
Number of households with a placement at 30 June > 2020,no.,Aust,9202
