category,unit,breakdown,value
Number of households with a placement at 30 June > 2024,no.,NSW,4827
Number of households with a placement at 30 June > 2024,no.,Vic,5092
Number of households with a placement at 30 June > 2024,no.,Qld,2399
Number of households with a placement at 30 June > 2024,no.,WA,1507
Number of households with a placement at 30 June > 2024,no.,SA,1588
Number of households with a placement at 30 June > 2024,no.,Tas,277
Number of households with a placement at 30 June > 2024,no.,ACT,256
Number of households with a placement at 30 June > 2024,no.,NT,63
Number of households with a placement at 30 June > 2024,no.,Aust,16009
Number of households with a placement at 30 June > 2023,no.,NSW,4922
Number of households with a placement at 30 June > 2023,no.,Vic,4825
Number of households with a placement at 30 June > 2023,no.,Qld,2372
Number of households with a placement at 30 June > 2023,no.,WA,1505
Number of households with a placement at 30 June > 2023,no.,SA,1564
Number of households with a placement at 30 June > 2023,no.,Tas,284
Number of households with a placement at 30 June > 2023,no.,ACT,265
Number of households with a placement at 30 June > 2023,no.,NT,60
Number of households with a placement at 30 June > 2023,no.,Aust,15797
Number of households with a placement at 30 June > 2022,no.,NSW,4999
Number of households with a placement at 30 June > 2022,no.,Vic,4744
Number of households with a placement at 30 June > 2022,no.,Qld,2226
Number of households with a placement at 30 June > 2022,no.,WA,1468
Number of households with a placement at 30 June > 2022,no.,SA,1439
Number of households with a placement at 30 June > 2022,no.,Tas,292
Number of households with a placement at 30 June > 2022,no.,ACT,273
Number of households with a placement at 30 June > 2022,no.,NT,93
Number of households with a placement at 30 June > 2022,no.,Aust,15534
Number of households with a placement at 30 June > 2021,no.,NSW,5151
Number of households with a placement at 30 June > 2021,no.,Vic,4714
Number of households with a placement at 30 June > 2021,no.,Qld,2134
Number of households with a placement at 30 June > 2021,no.,WA,1477
Number of households with a placement at 30 June > 2021,no.,SA,1425
Number of households with a placement at 30 June > 2021,no.,Tas,297
Number of households with a placement at 30 June > 2021,no.,ACT,261
Number of households with a placement at 30 June > 2021,no.,NT,113
Number of households with a placement at 30 June > 2021,no.,Aust,15572
Number of households with a placement at 30 June > 2020,no.,NSW,5238
Number of households with a placement at 30 June > 2020,no.,Vic,4639
Number of households with a placement at 30 June > 2020,no.,Qld,1956
Number of households with a placement at 30 June > 2020,no.,WA,1508
Number of households with a placement at 30 June > 2020,no.,SA,1354
Number of households with a placement at 30 June > 2020,no.,Tas,296
Number of households with a placement at 30 June > 2020,no.,ACT,245
Number of households with a placement at 30 June > 2020,no.,NT,131
Number of households with a placement at 30 June > 2020,no.,Aust,15367
