category,unit,breakdown,value
2024-25 > Children in out-of-home care at 30 June > Number of children > Aboriginal and Torres Strait Islander children,no.,NSW,6325
2024-25 > Children in out-of-home care at 30 June > Number of children > Aboriginal and Torres Strait Islander children,no.,Vic,3047
2024-25 > Children in out-of-home care at 30 June > Number of children > Aboriginal and Torres Strait Islander children,no.,Qld,na
2024-25 > Children in out-of-home care at 30 June > Number of children > Aboriginal and Torres Strait Islander children,no.,WA,2828
2024-25 > Children in out-of-home care at 30 June > Number of children > Aboriginal and Torres Strait Islander children,no.,SA,1785
2024-25 > Children in out-of-home care at 30 June > Number of children > Aboriginal and Torres Strait Islander children,no.,Tas,439
2024-25 > Children in out-of-home care at 30 June > Number of children > Aboriginal and Torres Strait Islander children,no.,ACT,183
2024-25 > Children in out-of-home care at 30 June > Number of children > Aboriginal and Torres Strait Islander children,no.,NT,733
2024-25 > Children in out-of-home care at 30 June > Number of children > Aboriginal and Torres Strait Islander children,no.,Aust,15340
2024-25 > Children in out-of-home care at 30 June > Number of children > Non-Indigenous children,no.,NSW,7242
2024-25 > Children in out-of-home care at 30 June > Number of children > Non-Indigenous children,no.,Vic,6350
2024-25 > Children in out-of-home care at 30 June > Number of children > Non-Indigenous children,no.,Qld,na
2024-25 > Children in out-of-home care at 30 June > Number of children > Non-Indigenous children,no.,WA,1885
2024-25 > Children in out-of-home care at 30 June > Number of children > Non-Indigenous children,no.,SA,2683
2024-25 > Children in out-of-home care at 30 June > Number of children > Non-Indigenous children,no.,Tas,537
2024-25 > Children in out-of-home care at 30 June > Number of children > Non-Indigenous children,no.,ACT,429
2024-25 > Children in out-of-home care at 30 June > Number of children > Non-Indigenous children,no.,NT,90
2024-25 > Children in out-of-home care at 30 June > Number of children > Non-Indigenous children,no.,Aust,19216
2024-25 > Children in out-of-home care at 30 June > Number of children > Children of unknown Indigenous status,no.,NSW,12
2024-25 > Children in out-of-home care at 30 June > Number of children > Children of unknown Indigenous status,no.,Vic,1
2024-25 > Children in out-of-home care at 30 June > Number of children > Children of unknown Indigenous status,no.,Qld,na
2024-25 > Children in out-of-home care at 30 June > Number of children > Children of unknown Indigenous status,no.,WA,3
2024-25 > Children in out-of-home care at 30 June > Number of children > Children of unknown Indigenous status,no.,SA,14
2024-25 > Children in out-of-home care at 30 June > Number of children > Children of unknown Indigenous status,no.,Tas,5
2024-25 > Children in out-of-home care at 30 June > Number of children > Children of unknown Indigenous status,no.,ACT,1
2024-25 > Children in out-of-home care at 30 June > Number of children > Children of unknown Indigenous status,no.,NT,2
2024-25 > Children in out-of-home care at 30 June > Number of children > Children of unknown Indigenous status,no.,Aust,38
2024-25 > Children in out-of-home care at 30 June > Number of children > All children,no.,NSW,13579
2024-25 > Children in out-of-home care at 30 June > Number of children > All children,no.,Vic,9398
2024-25 > Children in out-of-home care at 30 June > Number of children > All children,no.,Qld,na
2024-25 > Children in out-of-home care at 30 June > Number of children > All children,no.,WA,4716
2024-25 > Children in out-of-home care at 30 June > Number of children > All children,no.,SA,4482
2024-25 > Children in out-of-home care at 30 June > Number of children > All children,no.,Tas,981
2024-25 > Children in out-of-home care at 30 June > Number of children > All children,no.,ACT,613
2024-25 > Children in out-of-home care at 30 June > Number of children > All children,no.,NT,825
2024-25 > Children in out-of-home care at 30 June > Number of children > All children,no.,Aust,34594
"2024-25 > Children in out-of-home care at 30 June > Rate per 1,000 children aged 0–17 years > Aboriginal and Torres Strait Islander children",rate,NSW,45
