category,unit,breakdown,value
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Exceeding,%,NSW,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Exceeding,%,Vic,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Exceeding,%,Qld,3.5
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Exceeding,%,WA,5.4
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Exceeding,%,SA,3.8
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Exceeding,%,Tas,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Exceeding,%,ACT,np
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Exceeding,%,NT,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Strong,%,NSW,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Strong,%,Vic,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Strong,%,Qld,27
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Strong,%,WA,27.1
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Strong,%,SA,21.1
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Strong,%,Tas,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Strong,%,ACT,42.3
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Strong,%,NT,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Developing,%,NSW,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Developing,%,Vic,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Developing,%,Qld,28.9
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Developing,%,WA,22.1
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Developing,%,SA,34.3
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Developing,%,Tas,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Developing,%,ACT,23.1
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Developing,%,NT,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Needs additional support,%,NSW,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Needs additional support,%,Vic,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Needs additional support,%,Qld,34.1
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Needs additional support,%,WA,39.6
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Needs additional support,%,SA,24.9
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Needs additional support,%,Tas,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Needs additional support,%,ACT,30.8
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Needs additional support,%,NT,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Exempt,%,NSW,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Exempt,%,Vic,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Exempt,%,Qld,6.5
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Exempt,%,WA,5.8
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Exempt,%,SA,16
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Exempt,%,Tas,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Exempt,%,ACT,np
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > Children on guardianship and custody orders > Exempt,%,NT,na
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Exceeding,%,NSW,23.6
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Exceeding,%,Vic,25.2
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Exceeding,%,Qld,18.2
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Exceeding,%,WA,18.6
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Exceeding,%,SA,16.1
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Exceeding,%,Tas,16.6
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Exceeding,%,ACT,25.4
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Exceeding,%,NT,8.5
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Strong,%,NSW,49
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Strong,%,Vic,51.3
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Strong,%,Qld,49.5
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Strong,%,WA,50.2
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Strong,%,SA,50.6
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Strong,%,Tas,47.2
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Strong,%,ACT,52.5
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Strong,%,NT,35.6
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Developing,%,NSW,17.6
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Developing,%,Vic,15.6
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Developing,%,Qld,20.4
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Developing,%,WA,19.2
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Developing,%,SA,21.4
Year 5 > 2024 > NAPLAN Reading > Proportion of students by level of proficiency > All students > Developing,%,Tas,21.2
