category,unit,breakdown,value
2023-24 > Subject of a resubstantiation within three months > Number of children,no.,NSW,1121
2023-24 > Subject of a resubstantiation within three months > Number of children,no.,Vic,462
2023-24 > Subject of a resubstantiation within three months > Number of children,no.,Qld,na
2023-24 > Subject of a resubstantiation within three months > Number of children,no.,WA,289
2023-24 > Subject of a resubstantiation within three months > Number of children,no.,SA,239
2023-24 > Subject of a resubstantiation within three months > Number of children,no.,Tas,24
2023-24 > Subject of a resubstantiation within three months > Number of children,no.,ACT,20
2023-24 > Subject of a resubstantiation within three months > Number of children,no.,NT,59
2023-24 > Subject of a resubstantiation within three months > Proportion of children,%,NSW,8.8
2023-24 > Subject of a resubstantiation within three months > Proportion of children,%,Vic,2.9
2023-24 > Subject of a resubstantiation within three months > Proportion of children,%,Qld,na
2023-24 > Subject of a resubstantiation within three months > Proportion of children,%,WA,5
2023-24 > Subject of a resubstantiation within three months > Proportion of children,%,SA,7
2023-24 > Subject of a resubstantiation within three months > Proportion of children,%,Tas,4.4
2023-24 > Subject of a resubstantiation within three months > Proportion of children,%,ACT,7.9
2023-24 > Subject of a resubstantiation within three months > Proportion of children,%,NT,5.4
2023-24 > Subject of a resubstantiation within 12 months > Number of children,no.,NSW,2576
2023-24 > Subject of a resubstantiation within 12 months > Number of children,no.,Vic,2411
2023-24 > Subject of a resubstantiation within 12 months > Number of children,no.,Qld,na
2023-24 > Subject of a resubstantiation within 12 months > Number of children,no.,WA,971
2023-24 > Subject of a resubstantiation within 12 months > Number of children,no.,SA,643
2023-24 > Subject of a resubstantiation within 12 months > Number of children,no.,Tas,79
2023-24 > Subject of a resubstantiation within 12 months > Number of children,no.,ACT,37
2023-24 > Subject of a resubstantiation within 12 months > Number of children,no.,NT,162
2023-24 > Subject of a resubstantiation within 12 months > Proportion of children,%,NSW,20.2
2023-24 > Subject of a resubstantiation within 12 months > Proportion of children,%,Vic,15.3
2023-24 > Subject of a resubstantiation within 12 months > Proportion of children,%,Qld,na
2023-24 > Subject of a resubstantiation within 12 months > Proportion of children,%,WA,16.9
2023-24 > Subject of a resubstantiation within 12 months > Proportion of children,%,SA,18.7
2023-24 > Subject of a resubstantiation within 12 months > Proportion of children,%,Tas,14.5
2023-24 > Subject of a resubstantiation within 12 months > Proportion of children,%,ACT,14.6
2023-24 > Subject of a resubstantiation within 12 months > Proportion of children,%,NT,14.7
2022-23 > Subject of a resubstantiation within three months > Number of children,no.,NSW,1196
2022-23 > Subject of a resubstantiation within three months > Number of children,no.,Vic,394
2022-23 > Subject of a resubstantiation within three months > Number of children,no.,Qld,502
2022-23 > Subject of a resubstantiation within three months > Number of children,no.,WA,353
2022-23 > Subject of a resubstantiation within three months > Number of children,no.,SA,199
2022-23 > Subject of a resubstantiation within three months > Number of children,no.,Tas,29
2022-23 > Subject of a resubstantiation within three months > Number of children,no.,ACT,33
2022-23 > Subject of a resubstantiation within three months > Number of children,no.,NT,75
2022-23 > Subject of a resubstantiation within three months > Proportion of children,%,NSW,8.2
2022-23 > Subject of a resubstantiation within three months > Proportion of children,%,Vic,2.6
2022-23 > Subject of a resubstantiation within three months > Proportion of children,%,Qld,6.4
2022-23 > Subject of a resubstantiation within three months > Proportion of children,%,WA,6
2022-23 > Subject of a resubstantiation within three months > Proportion of children,%,SA,6.9
2022-23 > Subject of a resubstantiation within three months > Proportion of children,%,Tas,4.9
2022-23 > Subject of a resubstantiation within three months > Proportion of children,%,ACT,12.1
2022-23 > Subject of a resubstantiation within three months > Proportion of children,%,NT,5.3
2022-23 > Subject of a resubstantiation within 12 months > Number of children,no.,NSW,2690
2022-23 > Subject of a resubstantiation within 12 months > Number of children,no.,Vic,2209
2022-23 > Subject of a resubstantiation within 12 months > Number of children,no.,Qld,1131
2022-23 > Subject of a resubstantiation within 12 months > Number of children,no.,WA,1108
2022-23 > Subject of a resubstantiation within 12 months > Number of children,no.,SA,543
2022-23 > Subject of a resubstantiation within 12 months > Number of children,no.,Tas,77
2022-23 > Subject of a resubstantiation within 12 months > Number of children,no.,ACT,56
2022-23 > Subject of a resubstantiation within 12 months > Number of children,no.,NT,198
2022-23 > Subject of a resubstantiation within 12 months > Proportion of children,%,NSW,18.5
2022-23 > Subject of a resubstantiation within 12 months > Proportion of children,%,Vic,14.3
2022-23 > Subject of a resubstantiation within 12 months > Proportion of children,%,Qld,14.4
2022-23 > Subject of a resubstantiation within 12 months > Proportion of children,%,WA,18.9
2022-23 > Subject of a resubstantiation within 12 months > Proportion of children,%,SA,18.8
2022-23 > Subject of a resubstantiation within 12 months > Proportion of children,%,Tas,13.1
2022-23 > Subject of a resubstantiation within 12 months > Proportion of children,%,ACT,20.5
2022-23 > Subject of a resubstantiation within 12 months > Proportion of children,%,NT,14.1
2021-22 > Subject of a resubstantiation within three months > Number of children,no.,NSW,1536
2021-22 > Subject of a resubstantiation within three months > Number of children,no.,Vic,339
2021-22 > Subject of a resubstantiation within three months > Number of children,no.,Qld,400
2021-22 > Subject of a resubstantiation within three months > Number of children,no.,WA,271
2021-22 > Subject of a resubstantiation within three months > Number of children,no.,SA,159
2021-22 > Subject of a resubstantiation within three months > Number of children,no.,Tas,6
2021-22 > Subject of a resubstantiation within three months > Number of children,no.,ACT,20
2021-22 > Subject of a resubstantiation within three months > Number of children,no.,NT,26
2021-22 > Subject of a resubstantiation within three months > Proportion of children,%,NSW,9.3
2021-22 > Subject of a resubstantiation within three months > Proportion of children,%,Vic,2.3
2021-22 > Subject of a resubstantiation within three months > Proportion of children,%,Qld,5.3
2021-22 > Subject of a resubstantiation within three months > Proportion of children,%,WA,5.6
2021-22 > Subject of a resubstantiation within three months > Proportion of children,%,SA,6.3
2021-22 > Subject of a resubstantiation within three months > Proportion of children,%,Tas,1.2
2021-22 > Subject of a resubstantiation within three months > Proportion of children,%,ACT,6.7
2021-22 > Subject of a resubstantiation within three months > Proportion of children,%,NT,1.7
2021-22 > Subject of a resubstantiation within 12 months > Number of children,no.,NSW,3328
2021-22 > Subject of a resubstantiation within 12 months > Number of children,no.,Vic,2035
2021-22 > Subject of a resubstantiation within 12 months > Number of children,no.,Qld,1059
2021-22 > Subject of a resubstantiation within 12 months > Number of children,no.,WA,835
2021-22 > Subject of a resubstantiation within 12 months > Number of children,no.,SA,455
2021-22 > Subject of a resubstantiation within 12 months > Number of children,no.,Tas,56
2021-22 > Subject of a resubstantiation within 12 months > Number of children,no.,ACT,39
2021-22 > Subject of a resubstantiation within 12 months > Number of children,no.,NT,180
2021-22 > Subject of a resubstantiation within 12 months > Proportion of children,%,NSW,20.2
2021-22 > Subject of a resubstantiation within 12 months > Proportion of children,%,Vic,13.5
2021-22 > Subject of a resubstantiation within 12 months > Proportion of children,%,Qld,14
2021-22 > Subject of a resubstantiation within 12 months > Proportion of children,%,WA,17.3
2021-22 > Subject of a resubstantiation within 12 months > Proportion of children,%,SA,18.1
2021-22 > Subject of a resubstantiation within 12 months > Proportion of children,%,Tas,11.5
2021-22 > Subject of a resubstantiation within 12 months > Proportion of children,%,ACT,13.1
2021-22 > Subject of a resubstantiation within 12 months > Proportion of children,%,NT,11.5
2020-21 > Subject of a resubstantiation within three months > Number of children,no.,NSW,2057
2020-21 > Subject of a resubstantiation within three months > Number of children,no.,Vic,331
2020-21 > Subject of a resubstantiation within three months > Number of children,no.,Qld,451
2020-21 > Subject of a resubstantiation within three months > Number of children,no.,WA,276
2020-21 > Subject of a resubstantiation within three months > Number of children,no.,SA,203
2020-21 > Subject of a resubstantiation within three months > Number of children,no.,Tas,14
2020-21 > Subject of a resubstantiation within three months > Number of children,no.,ACT,28
2020-21 > Subject of a resubstantiation within three months > Number of children,no.,NT,56
2020-21 > Subject of a resubstantiation within three months > Proportion of children,%,NSW,11.3
2020-21 > Subject of a resubstantiation within three months > Proportion of children,%,Vic,2.1
2020-21 > Subject of a resubstantiation within three months > Proportion of children,%,Qld,6.1
2020-21 > Subject of a resubstantiation within three months > Proportion of children,%,WA,5.4
2020-21 > Subject of a resubstantiation within three months > Proportion of children,%,SA,7.6
2020-21 > Subject of a resubstantiation within three months > Proportion of children,%,Tas,2.5
2020-21 > Subject of a resubstantiation within three months > Proportion of children,%,ACT,9.5
2020-21 > Subject of a resubstantiation within three months > Proportion of children,%,NT,3.1
2020-21 > Subject of a resubstantiation within 12 months > Number of children,no.,NSW,4284
2020-21 > Subject of a resubstantiation within 12 months > Number of children,no.,Vic,2086
2020-21 > Subject of a resubstantiation within 12 months > Number of children,no.,Qld,1055
2020-21 > Subject of a resubstantiation within 12 months > Number of children,no.,WA,867
2020-21 > Subject of a resubstantiation within 12 months > Number of children,no.,SA,446
2020-21 > Subject of a resubstantiation within 12 months > Number of children,no.,Tas,66
2020-21 > Subject of a resubstantiation within 12 months > Number of children,no.,ACT,68
2020-21 > Subject of a resubstantiation within 12 months > Number of children,no.,NT,259
2020-21 > Subject of a resubstantiation within 12 months > Proportion of children,%,NSW,23.6
2020-21 > Subject of a resubstantiation within 12 months > Proportion of children,%,Vic,13.2
2020-21 > Subject of a resubstantiation within 12 months > Proportion of children,%,Qld,14.3
2020-21 > Subject of a resubstantiation within 12 months > Proportion of children,%,WA,16.8
2020-21 > Subject of a resubstantiation within 12 months > Proportion of children,%,SA,16.8
2020-21 > Subject of a resubstantiation within 12 months > Proportion of children,%,Tas,11.6
2020-21 > Subject of a resubstantiation within 12 months > Proportion of children,%,ACT,23.1
2020-21 > Subject of a resubstantiation within 12 months > Proportion of children,%,NT,14.3
2019-20 > Subject of a resubstantiation within three months > Number of children,no.,NSW,1879
2019-20 > Subject of a resubstantiation within three months > Number of children,no.,Vic,453
2019-20 > Subject of a resubstantiation within three months > Number of children,no.,Qld,452
2019-20 > Subject of a resubstantiation within three months > Number of children,no.,WA,355
2019-20 > Subject of a resubstantiation within three months > Number of children,no.,SA,197
2019-20 > Subject of a resubstantiation within three months > Number of children,no.,Tas,20
2019-20 > Subject of a resubstantiation within three months > Number of children,no.,ACT,17
2019-20 > Subject of a resubstantiation within three months > Number of children,no.,NT,40
2019-20 > Subject of a resubstantiation within three months > Proportion of children,%,NSW,10.4
2019-20 > Subject of a resubstantiation within three months > Proportion of children,%,Vic,2.6
2019-20 > Subject of a resubstantiation within three months > Proportion of children,%,Qld,6.1
2019-20 > Subject of a resubstantiation within three months > Proportion of children,%,WA,6.2
2019-20 > Subject of a resubstantiation within three months > Proportion of children,%,SA,8.2
2019-20 > Subject of a resubstantiation within three months > Proportion of children,%,Tas,3.3
2019-20 > Subject of a resubstantiation within three months > Proportion of children,%,ACT,6.7
2019-20 > Subject of a resubstantiation within three months > Proportion of children,%,NT,3.1
2019-20 > Subject of a resubstantiation within 12 months > Number of children,no.,NSW,4230
2019-20 > Subject of a resubstantiation within 12 months > Number of children,no.,Vic,2474
2019-20 > Subject of a resubstantiation within 12 months > Number of children,no.,Qld,1141
2019-20 > Subject of a resubstantiation within 12 months > Number of children,no.,WA,1031
2019-20 > Subject of a resubstantiation within 12 months > Number of children,no.,SA,415
2019-20 > Subject of a resubstantiation within 12 months > Number of children,no.,Tas,96
2019-20 > Subject of a resubstantiation within 12 months > Number of children,no.,ACT,32
2019-20 > Subject of a resubstantiation within 12 months > Number of children,no.,NT,198
2019-20 > Subject of a resubstantiation within 12 months > Proportion of children,%,NSW,23.4
2019-20 > Subject of a resubstantiation within 12 months > Proportion of children,%,Vic,14.3
2019-20 > Subject of a resubstantiation within 12 months > Proportion of children,%,Qld,15.3
2019-20 > Subject of a resubstantiation within 12 months > Proportion of children,%,WA,18.1
2019-20 > Subject of a resubstantiation within 12 months > Proportion of children,%,SA,17.2
2019-20 > Subject of a resubstantiation within 12 months > Proportion of children,%,Tas,16
2019-20 > Subject of a resubstantiation within 12 months > Proportion of children,%,ACT,12.6
2019-20 > Subject of a resubstantiation within 12 months > Proportion of children,%,NT,15.5
2018-19 > Subject of a resubstantiation within three months > Number of children,no.,NSW,1247
2018-19 > Subject of a resubstantiation within three months > Number of children,no.,Vic,554
2018-19 > Subject of a resubstantiation within three months > Number of children,no.,Qld,478
2018-19 > Subject of a resubstantiation within three months > Number of children,no.,WA,334
2018-19 > Subject of a resubstantiation within three months > Number of children,no.,SA,154
2018-19 > Subject of a resubstantiation within three months > Number of children,no.,Tas,38
2018-19 > Subject of a resubstantiation within three months > Number of children,no.,ACT,17
2018-19 > Subject of a resubstantiation within three months > Number of children,no.,NT,46
2018-19 > Subject of a resubstantiation within three months > Proportion of children,%,NSW,8.1
2018-19 > Subject of a resubstantiation within three months > Proportion of children,%,Vic,2.9
2018-19 > Subject of a resubstantiation within three months > Proportion of children,%,Qld,6.8
2018-19 > Subject of a resubstantiation within three months > Proportion of children,%,WA,6.2
2018-19 > Subject of a resubstantiation within three months > Proportion of children,%,SA,8
2018-19 > Subject of a resubstantiation within three months > Proportion of children,%,Tas,5.1
2018-19 > Subject of a resubstantiation within three months > Proportion of children,%,ACT,7.4
2018-19 > Subject of a resubstantiation within three months > Proportion of children,%,NT,2.9
2018-19 > Subject of a resubstantiation within 12 months > Number of children,no.,NSW,3035
2018-19 > Subject of a resubstantiation within 12 months > Number of children,no.,Vic,3071
2018-19 > Subject of a resubstantiation within 12 months > Number of children,no.,Qld,1196
2018-19 > Subject of a resubstantiation within 12 months > Number of children,no.,WA,1077
2018-19 > Subject of a resubstantiation within 12 months > Number of children,no.,SA,313
2018-19 > Subject of a resubstantiation within 12 months > Number of children,no.,Tas,113
