category,unit,breakdown,value
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Substantiated",no.,NSW,9992
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Substantiated",no.,Vic,2863
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Substantiated",no.,Qld,na
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Substantiated",no.,WA,2410
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Substantiated",no.,SA,983
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Substantiated",no.,Tas,238
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Substantiated",no.,ACT,71
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Substantiated",no.,NT,929
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Not substantiated",no.,NSW,5298
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Not substantiated",no.,Vic,3755
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Not substantiated",no.,Qld,na
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Not substantiated",no.,WA,1624
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Not substantiated",no.,SA,2144
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Not substantiated",no.,Tas,63
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Not substantiated",no.,ACT,148
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Not substantiated",no.,NT,1687
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Total finalised",no.,NSW,15290
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Total finalised",no.,Vic,6618
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Total finalised",no.,Qld,na
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Total finalised",no.,WA,4034
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Total finalised",no.,SA,3127
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Total finalised",no.,Tas,301
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Total finalised",no.,ACT,219
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations finalised by 31 August > Total finalised",no.,NT,2616
"2024-25 > Aboriginal and Torres Strait Islander children > Number of notifications, investigations and substantiations > Notifications investigated > Investigations in process",no.,NSW,15843
