category,unit,breakdown,value
Population at 31 December > 2024 > Aboriginal and Torres Strait Islander children,no.,NSW,140274
Population at 31 December > 2024 > Aboriginal and Torres Strait Islander children,no.,Vic,31748
Population at 31 December > 2024 > Aboriginal and Torres Strait Islander children,no.,Qld,116245
Population at 31 December > 2024 > Aboriginal and Torres Strait Islander children,no.,WA,47572
Population at 31 December > 2024 > Aboriginal and Torres Strait Islander children,no.,SA,21038
Population at 31 December > 2024 > Aboriginal and Torres Strait Islander children,no.,Tas,12920
Population at 31 December > 2024 > Aboriginal and Torres Strait Islander children,no.,ACT,3454
Population at 31 December > 2024 > Aboriginal and Torres Strait Islander children,no.,NT,24974
Population at 31 December > 2024 > Aboriginal and Torres Strait Islander children,no.,Aust,398289
Population at 31 December > 2024 > Non-Indigenous children,no.,NSW,1661040
Population at 31 December > 2024 > Non-Indigenous children,no.,Vic,1436698
Population at 31 December > 2024 > Non-Indigenous children,no.,Qld,1106273
Population at 31 December > 2024 > Non-Indigenous children,no.,WA,606128
Population at 31 December > 2024 > Non-Indigenous children,no.,SA,357598
Population at 31 December > 2024 > Non-Indigenous children,no.,Tas,100270
Population at 31 December > 2024 > Non-Indigenous children,no.,ACT,96202
Population at 31 December > 2024 > Non-Indigenous children,no.,NT,38031
Population at 31 December > 2024 > Non-Indigenous children,no.,Aust,5403085
Population at 31 December > 2024 > All children,no.,NSW,1801313
Population at 31 December > 2024 > All children,no.,Vic,1468446
Population at 31 December > 2024 > All children,no.,Qld,1222517
Population at 31 December > 2024 > All children,no.,WA,653699
Population at 31 December > 2024 > All children,no.,SA,378636
Population at 31 December > 2024 > All children,no.,Tas,113190
Population at 31 December > 2024 > All children,no.,ACT,99656
Population at 31 December > 2024 > All children,no.,NT,63005
Population at 31 December > 2024 > All children,no.,Aust,5801373
Population at 31 December > 2023 > Aboriginal and Torres Strait Islander children,no.,NSW,139357
Population at 31 December > 2023 > Aboriginal and Torres Strait Islander children,no.,Vic,31522
Population at 31 December > 2023 > Aboriginal and Torres Strait Islander children,no.,Qld,114663
Population at 31 December > 2023 > Aboriginal and Torres Strait Islander children,no.,WA,47241
Population at 31 December > 2023 > Aboriginal and Torres Strait Islander children,no.,SA,20985
Population at 31 December > 2023 > Aboriginal and Torres Strait Islander children,no.,Tas,13006
Population at 31 December > 2023 > Aboriginal and Torres Strait Islander children,no.,ACT,3438
Population at 31 December > 2023 > Aboriginal and Torres Strait Islander children,no.,NT,25206
Population at 31 December > 2023 > Aboriginal and Torres Strait Islander children,no.,Aust,395478
Population at 31 December > 2023 > Non-Indigenous children,no.,NSW,1660190
Population at 31 December > 2023 > Non-Indigenous children,no.,Vic,1421283
Population at 31 December > 2023 > Non-Indigenous children,no.,Qld,1106715
Population at 31 December > 2023 > Non-Indigenous children,no.,WA,602521
Population at 31 December > 2023 > Non-Indigenous children,no.,SA,357578
Population at 31 December > 2023 > Non-Indigenous children,no.,Tas,100769
Population at 31 December > 2023 > Non-Indigenous children,no.,ACT,95343
Population at 31 December > 2023 > Non-Indigenous children,no.,NT,35804
Population at 31 December > 2023 > Non-Indigenous children,no.,Aust,5381087
Population at 31 December > 2023 > All children,no.,NSW,1799547
Population at 31 December > 2023 > All children,no.,Vic,1452804
Population at 31 December > 2023 > All children,no.,Qld,1221378
Population at 31 December > 2023 > All children,no.,WA,649762
Population at 31 December > 2023 > All children,no.,SA,378562
Population at 31 December > 2023 > All children,no.,Tas,113774
Population at 31 December > 2023 > All children,no.,ACT,98780
Population at 31 December > 2023 > All children,no.,NT,61010
Population at 31 December > 2023 > All children,no.,Aust,5776565
Population at 31 December > 2022 > Aboriginal and Torres Strait Islander children,no.,NSW,138190
Population at 31 December > 2022 > Aboriginal and Torres Strait Islander children,no.,Vic,31162
Population at 31 December > 2022 > Aboriginal and Torres Strait Islander children,no.,Qld,112921
Population at 31 December > 2022 > Aboriginal and Torres Strait Islander children,no.,WA,46839
Population at 31 December > 2022 > Aboriginal and Torres Strait Islander children,no.,SA,20885
Population at 31 December > 2022 > Aboriginal and Torres Strait Islander children,no.,Tas,13040
Population at 31 December > 2022 > Aboriginal and Torres Strait Islander children,no.,ACT,3421
Population at 31 December > 2022 > Aboriginal and Torres Strait Islander children,no.,NT,25438
Population at 31 December > 2022 > Aboriginal and Torres Strait Islander children,no.,Aust,391955
Population at 31 December > 2022 > Non-Indigenous children,no.,NSW,1652486
Population at 31 December > 2022 > Non-Indigenous children,no.,Vic,1401592
Population at 31 December > 2022 > Non-Indigenous children,no.,Qld,1096840
Population at 31 December > 2022 > Non-Indigenous children,no.,WA,591091
Population at 31 December > 2022 > Non-Indigenous children,no.,SA,355080
Population at 31 December > 2022 > Non-Indigenous children,no.,Tas,101576
Population at 31 December > 2022 > Non-Indigenous children,no.,ACT,94901
Population at 31 December > 2022 > Non-Indigenous children,no.,NT,36101
Population at 31 December > 2022 > Non-Indigenous children,no.,Aust,5330566
Population at 31 December > 2022 > All children,no.,NSW,1790675
Population at 31 December > 2022 > All children,no.,Vic,1432753
Population at 31 December > 2022 > All children,no.,Qld,1209761
Population at 31 December > 2022 > All children,no.,WA,637930
Population at 31 December > 2022 > All children,no.,SA,375964
Population at 31 December > 2022 > All children,no.,Tas,114616
Population at 31 December > 2022 > All children,no.,ACT,98322
Population at 31 December > 2022 > All children,no.,NT,61539
Population at 31 December > 2022 > All children,no.,Aust,5722521
Population at 31 December > 2021 > Aboriginal and Torres Strait Islander children,no.,NSW,136869
Population at 31 December > 2021 > Aboriginal and Torres Strait Islander children,no.,Vic,30771
Population at 31 December > 2021 > Aboriginal and Torres Strait Islander children,no.,Qld,110958
Population at 31 December > 2021 > Aboriginal and Torres Strait Islander children,no.,WA,46265
Population at 31 December > 2021 > Aboriginal and Torres Strait Islander children,no.,SA,20699
Population at 31 December > 2021 > Aboriginal and Torres Strait Islander children,no.,Tas,13026
Population at 31 December > 2021 > Aboriginal and Torres Strait Islander children,no.,ACT,3393
Population at 31 December > 2021 > Aboriginal and Torres Strait Islander children,no.,NT,25680
Population at 31 December > 2021 > Aboriginal and Torres Strait Islander children,no.,Aust,387719
Population at 31 December > 2021 > Non-Indigenous children,no.,NSW,1639799
Population at 31 December > 2021 > Non-Indigenous children,no.,Vic,1385707
Population at 31 December > 2021 > Non-Indigenous children,no.,Qld,1083199
Population at 31 December > 2021 > Non-Indigenous children,no.,WA,583585
Population at 31 December > 2021 > Non-Indigenous children,no.,SA,352116
Population at 31 December > 2021 > Non-Indigenous children,no.,Tas,101896
Population at 31 December > 2021 > Non-Indigenous children,no.,ACT,94620
Population at 31 December > 2021 > Non-Indigenous children,no.,NT,36116
Population at 31 December > 2021 > Non-Indigenous children,no.,Aust,5277945
Population at 31 December > 2021 > All children,no.,NSW,1776668
Population at 31 December > 2021 > All children,no.,Vic,1416478
Population at 31 December > 2021 > All children,no.,Qld,1194156
Population at 31 December > 2021 > All children,no.,WA,629850
Population at 31 December > 2021 > All children,no.,SA,372814
Population at 31 December > 2021 > All children,no.,Tas,114922
Population at 31 December > 2021 > All children,no.,ACT,98012
Population at 31 December > 2021 > All children,no.,NT,61795
Population at 31 December > 2021 > All children,no.,Aust,5665664
Population at 31 December > 2020 > Aboriginal and Torres Strait Islander children,no.,NSW,135629
Population at 31 December > 2020 > Aboriginal and Torres Strait Islander children,no.,Vic,30392
Population at 31 December > 2020 > Aboriginal and Torres Strait Islander children,no.,Qld,109372
Population at 31 December > 2020 > Aboriginal and Torres Strait Islander children,no.,WA,45784
Population at 31 December > 2020 > Aboriginal and Torres Strait Islander children,no.,SA,20480
Population at 31 December > 2020 > Aboriginal and Torres Strait Islander children,no.,Tas,12982
Population at 31 December > 2020 > Aboriginal and Torres Strait Islander children,no.,ACT,3413
Population at 31 December > 2020 > Aboriginal and Torres Strait Islander children,no.,NT,25935
Population at 31 December > 2020 > Aboriginal and Torres Strait Islander children,no.,Aust,384045
Population at 31 December > 2020 > Non-Indigenous children,no.,NSW,1634010
Population at 31 December > 2020 > Non-Indigenous children,no.,Vic,1382650
Population at 31 December > 2020 > Non-Indigenous children,no.,Qld,1069715
Population at 31 December > 2020 > Non-Indigenous children,no.,WA,576400
Population at 31 December > 2020 > Non-Indigenous children,no.,SA,350583
Population at 31 December > 2020 > Non-Indigenous children,no.,Tas,101398
Population at 31 December > 2020 > Non-Indigenous children,no.,ACT,94189
Population at 31 December > 2020 > Non-Indigenous children,no.,NT,36129
Population at 31 December > 2020 > Non-Indigenous children,no.,Aust,5245958
Population at 31 December > 2020 > All children,no.,NSW,1769639
Population at 31 December > 2020 > All children,no.,Vic,1413041
Population at 31 December > 2020 > All children,no.,Qld,1179086
Population at 31 December > 2020 > All children,no.,WA,622183
Population at 31 December > 2020 > All children,no.,SA,371063
Population at 31 December > 2020 > All children,no.,Tas,114380
Population at 31 December > 2020 > All children,no.,ACT,97601
Population at 31 December > 2020 > All children,no.,NT,62064
Population at 31 December > 2020 > All children,no.,Aust,5630002
Population at 31 December > 2019 > Aboriginal and Torres Strait Islander children,no.,NSW,134649
Population at 31 December > 2019 > Aboriginal and Torres Strait Islander children,no.,Vic,30074
Population at 31 December > 2019 > Aboriginal and Torres Strait Islander children,no.,Qld,108230
Population at 31 December > 2019 > Aboriginal and Torres Strait Islander children,no.,WA,45402
Population at 31 December > 2019 > Aboriginal and Torres Strait Islander children,no.,SA,20273
Population at 31 December > 2019 > Aboriginal and Torres Strait Islander children,no.,Tas,12932
Population at 31 December > 2019 > Aboriginal and Torres Strait Islander children,no.,ACT,3470
Population at 31 December > 2019 > Aboriginal and Torres Strait Islander children,no.,NT,26177
Population at 31 December > 2019 > Aboriginal and Torres Strait Islander children,no.,Aust,381265
Population at 31 December > 2019 > Non-Indigenous children,no.,NSW,1635193
Population at 31 December > 2019 > Non-Indigenous children,no.,Vic,1387514
Population at 31 December > 2019 > Non-Indigenous children,no.,Qld,1067890
Population at 31 December > 2019 > Non-Indigenous children,no.,WA,569746
Population at 31 December > 2019 > Non-Indigenous children,no.,SA,350129
Population at 31 December > 2019 > Non-Indigenous children,no.,Tas,101150
Population at 31 December > 2019 > Non-Indigenous children,no.,ACT,93265
Population at 31 December > 2019 > Non-Indigenous children,no.,NT,35776
Population at 31 December > 2019 > Non-Indigenous children,no.,Aust,5241536
Population at 31 December > 2019 > All children,no.,NSW,1769842
Population at 31 December > 2019 > All children,no.,Vic,1417587
Population at 31 December > 2019 > All children,no.,Qld,1176119
Population at 31 December > 2019 > All children,no.,WA,615147
Population at 31 December > 2019 > All children,no.,SA,370401
Population at 31 December > 2019 > All children,no.,Tas,114082
Population at 31 December > 2019 > All children,no.,ACT,96735
Population at 31 December > 2019 > All children,no.,NT,61953
Population at 31 December > 2019 > All children,no.,Aust,5622800
Population at 31 December > 2018 > Aboriginal and Torres Strait Islander children,no.,NSW,133775
Population at 31 December > 2018 > Aboriginal and Torres Strait Islander children,no.,Vic,29758
Population at 31 December > 2018 > Aboriginal and Torres Strait Islander children,no.,Qld,106970
Population at 31 December > 2018 > Aboriginal and Torres Strait Islander children,no.,WA,44923
Population at 31 December > 2018 > Aboriginal and Torres Strait Islander children,no.,SA,20034
Population at 31 December > 2018 > Aboriginal and Torres Strait Islander children,no.,Tas,12887
Population at 31 December > 2018 > Aboriginal and Torres Strait Islander children,no.,ACT,3484
Population at 31 December > 2018 > Aboriginal and Torres Strait Islander children,no.,NT,26399
Population at 31 December > 2018 > Aboriginal and Torres Strait Islander children,no.,Aust,378288
Population at 31 December > 2018 > Non-Indigenous children,no.,NSW,1625963
Population at 31 December > 2018 > Non-Indigenous children,no.,Vic,1373409
Population at 31 December > 2018 > Non-Indigenous children,no.,Qld,1059973
Population at 31 December > 2018 > Non-Indigenous children,no.,WA,560712
Population at 31 December > 2018 > Non-Indigenous children,no.,SA,348188
Population at 31 December > 2018 > Non-Indigenous children,no.,Tas,100317
Population at 31 December > 2018 > Non-Indigenous children,no.,ACT,91680
Population at 31 December > 2018 > Non-Indigenous children,no.,NT,36043
Population at 31 December > 2018 > Non-Indigenous children,no.,Aust,5197156
Population at 31 December > 2018 > All children,no.,NSW,1759738
Population at 31 December > 2018 > All children,no.,Vic,1403167
Population at 31 December > 2018 > All children,no.,Qld,1166943
Population at 31 December > 2018 > All children,no.,WA,605635
Population at 31 December > 2018 > All children,no.,SA,368222
Population at 31 December > 2018 > All children,no.,Tas,113203
Population at 31 December > 2018 > All children,no.,ACT,95164
Population at 31 December > 2018 > All children,no.,NT,62442
Population at 31 December > 2018 > All children,no.,Aust,5575444
Population at 31 December > 2017 > Aboriginal and Torres Strait Islander children,no.,NSW,132835
Population at 31 December > 2017 > Aboriginal and Torres Strait Islander children,no.,Vic,29365
Population at 31 December > 2017 > Aboriginal and Torres Strait Islander children,no.,Qld,105772
Population at 31 December > 2017 > Aboriginal and Torres Strait Islander children,no.,WA,44375
Population at 31 December > 2017 > Aboriginal and Torres Strait Islander children,no.,SA,19761
Population at 31 December > 2017 > Aboriginal and Torres Strait Islander children,no.,Tas,12832
Population at 31 December > 2017 > Aboriginal and Torres Strait Islander children,no.,ACT,3468
Population at 31 December > 2017 > Aboriginal and Torres Strait Islander children,no.,NT,26596
Population at 31 December > 2017 > Aboriginal and Torres Strait Islander children,no.,Aust,375062
Population at 31 December > 2017 > Non-Indigenous children,no.,NSW,1616428
Population at 31 December > 2017 > Non-Indigenous children,no.,Vic,1356875
Population at 31 December > 2017 > Non-Indigenous children,no.,Qld,1050004
Population at 31 December > 2017 > Non-Indigenous children,no.,WA,554462
Population at 31 December > 2017 > Non-Indigenous children,no.,SA,347088
Population at 31 December > 2017 > Non-Indigenous children,no.,Tas,99940
Population at 31 December > 2017 > Non-Indigenous children,no.,ACT,89886
Population at 31 December > 2017 > Non-Indigenous children,no.,NT,36253
Population at 31 December > 2017 > Non-Indigenous children,no.,Aust,5151801
Population at 31 December > 2017 > All children,no.,NSW,1749263
Population at 31 December > 2017 > All children,no.,Vic,1386240
Population at 31 December > 2017 > All children,no.,Qld,1155775
Population at 31 December > 2017 > All children,no.,WA,598837
Population at 31 December > 2017 > All children,no.,SA,366848
