category,unit,breakdown,value
Children in other supported placements at 30 June > 2025 > Aboriginal and Torres Strait Islander children,no.,NSW,1192
Children in other supported placements at 30 June > 2025 > Aboriginal and Torres Strait Islander children,no.,Vic,485
Children in other supported placements at 30 June > 2025 > Aboriginal and Torres Strait Islander children,no.,Qld,na
Children in other supported placements at 30 June > 2025 > Aboriginal and Torres Strait Islander children,no.,WA,405
Children in other supported placements at 30 June > 2025 > Aboriginal and Torres Strait Islander children,no.,SA,81
Children in other supported placements at 30 June > 2025 > Aboriginal and Torres Strait Islander children,no.,Tas,82
Children in other supported placements at 30 June > 2025 > Aboriginal and Torres Strait Islander children,no.,ACT,47
Children in other supported placements at 30 June > 2025 > Aboriginal and Torres Strait Islander children,no.,NT,0
Children in other supported placements at 30 June > 2025 > Aboriginal and Torres Strait Islander children,no.,Aust,2292
Children in other supported placements at 30 June > 2025 > Non-Indigenous children,no.,NSW,1976
Children in other supported placements at 30 June > 2025 > Non-Indigenous children,no.,Vic,3321
Children in other supported placements at 30 June > 2025 > Non-Indigenous children,no.,Qld,na
Children in other supported placements at 30 June > 2025 > Non-Indigenous children,no.,WA,390
Children in other supported placements at 30 June > 2025 > Non-Indigenous children,no.,SA,359
Children in other supported placements at 30 June > 2025 > Non-Indigenous children,no.,Tas,140
Children in other supported placements at 30 June > 2025 > Non-Indigenous children,no.,ACT,107
Children in other supported placements at 30 June > 2025 > Non-Indigenous children,no.,NT,0
Children in other supported placements at 30 June > 2025 > Non-Indigenous children,no.,Aust,6293
Children in other supported placements at 30 June > 2025 > Children of unknown Indigenous status,no.,NSW,3
Children in other supported placements at 30 June > 2025 > Children of unknown Indigenous status,no.,Vic,3
Children in other supported placements at 30 June > 2025 > Children of unknown Indigenous status,no.,Qld,na
Children in other supported placements at 30 June > 2025 > Children of unknown Indigenous status,no.,WA,1
Children in other supported placements at 30 June > 2025 > Children of unknown Indigenous status,no.,SA,0
Children in other supported placements at 30 June > 2025 > Children of unknown Indigenous status,no.,Tas,0
Children in other supported placements at 30 June > 2025 > Children of unknown Indigenous status,no.,ACT,0
Children in other supported placements at 30 June > 2025 > Children of unknown Indigenous status,no.,NT,0
Children in other supported placements at 30 June > 2025 > Children of unknown Indigenous status,no.,Aust,7
Children in other supported placements at 30 June > 2025 > All children,no.,NSW,3171
Children in other supported placements at 30 June > 2025 > All children,no.,Vic,3809
Children in other supported placements at 30 June > 2025 > All children,no.,Qld,na
Children in other supported placements at 30 June > 2025 > All children,no.,WA,796
Children in other supported placements at 30 June > 2025 > All children,no.,SA,440
Children in other supported placements at 30 June > 2025 > All children,no.,Tas,222
Children in other supported placements at 30 June > 2025 > All children,no.,ACT,154
Children in other supported placements at 30 June > 2025 > All children,no.,NT,0
Children in other supported placements at 30 June > 2025 > All children,no.,Aust,8592
Children in other supported placements at 30 June > 2024 > Aboriginal and Torres Strait Islander children,no.,NSW,1243
Children in other supported placements at 30 June > 2024 > Aboriginal and Torres Strait Islander children,no.,Vic,486
Children in other supported placements at 30 June > 2024 > Aboriginal and Torres Strait Islander children,no.,Qld,716
Children in other supported placements at 30 June > 2024 > Aboriginal and Torres Strait Islander children,no.,WA,433
Children in other supported placements at 30 June > 2024 > Aboriginal and Torres Strait Islander children,no.,SA,80
Children in other supported placements at 30 June > 2024 > Aboriginal and Torres Strait Islander children,no.,Tas,80
Children in other supported placements at 30 June > 2024 > Aboriginal and Torres Strait Islander children,no.,ACT,48
Children in other supported placements at 30 June > 2024 > Aboriginal and Torres Strait Islander children,no.,NT,0
Children in other supported placements at 30 June > 2024 > Aboriginal and Torres Strait Islander children,no.,Aust,3086
Children in other supported placements at 30 June > 2024 > Non-Indigenous children,no.,NSW,2145
Children in other supported placements at 30 June > 2024 > Non-Indigenous children,no.,Vic,3360
Children in other supported placements at 30 June > 2024 > Non-Indigenous children,no.,Qld,1220
Children in other supported placements at 30 June > 2024 > Non-Indigenous children,no.,WA,404
Children in other supported placements at 30 June > 2024 > Non-Indigenous children,no.,SA,307
Children in other supported placements at 30 June > 2024 > Non-Indigenous children,no.,Tas,155
Children in other supported placements at 30 June > 2024 > Non-Indigenous children,no.,ACT,108
Children in other supported placements at 30 June > 2024 > Non-Indigenous children,no.,NT,0
Children in other supported placements at 30 June > 2024 > Non-Indigenous children,no.,Aust,7699
Children in other supported placements at 30 June > 2024 > Children of unknown Indigenous status,no.,NSW,0
