category,unit,breakdown,value
2024-25 > Number of investigations commenced from notification date > 7 days or fewer,no.,NSW,25283
2024-25 > Number of investigations commenced from notification date > 7 days or fewer,no.,Vic,31616
2024-25 > Number of investigations commenced from notification date > 7 days or fewer,no.,Qld,na
2024-25 > Number of investigations commenced from notification date > 7 days or fewer,no.,WA,12114
2024-25 > Number of investigations commenced from notification date > 7 days or fewer,no.,SA,5215
2024-25 > Number of investigations commenced from notification date > 7 days or fewer,no.,Tas,np
2024-25 > Number of investigations commenced from notification date > 7 days or fewer,no.,ACT,305
2024-25 > Number of investigations commenced from notification date > 7 days or fewer,no.,NT,4401
2024-25 > Number of investigations commenced from notification date > 7 days or fewer,no.,Aust,78934
2024-25 > Number of investigations commenced from notification date > 8 to 14 days,no.,NSW,9638
2024-25 > Number of investigations commenced from notification date > 8 to 14 days,no.,Vic,8028
2024-25 > Number of investigations commenced from notification date > 8 to 14 days,no.,Qld,na
2024-25 > Number of investigations commenced from notification date > 8 to 14 days,no.,WA,643
2024-25 > Number of investigations commenced from notification date > 8 to 14 days,no.,SA,1448
2024-25 > Number of investigations commenced from notification date > 8 to 14 days,no.,Tas,np
2024-25 > Number of investigations commenced from notification date > 8 to 14 days,no.,ACT,163
2024-25 > Number of investigations commenced from notification date > 8 to 14 days,no.,NT,691
2024-25 > Number of investigations commenced from notification date > 8 to 14 days,no.,Aust,20611
2024-25 > Number of investigations commenced from notification date > 15 to 21 days,no.,NSW,5477
2024-25 > Number of investigations commenced from notification date > 15 to 21 days,no.,Vic,3725
2024-25 > Number of investigations commenced from notification date > 15 to 21 days,no.,Qld,na
2024-25 > Number of investigations commenced from notification date > 15 to 21 days,no.,WA,373
2024-25 > Number of investigations commenced from notification date > 15 to 21 days,no.,SA,1275
2024-25 > Number of investigations commenced from notification date > 15 to 21 days,no.,Tas,np
2024-25 > Number of investigations commenced from notification date > 15 to 21 days,no.,ACT,122
2024-25 > Number of investigations commenced from notification date > 15 to 21 days,no.,NT,241
2024-25 > Number of investigations commenced from notification date > 15 to 21 days,no.,Aust,11213
2024-25 > Number of investigations commenced from notification date > 22 to 28 days,no.,NSW,2970
2024-25 > Number of investigations commenced from notification date > 22 to 28 days,no.,Vic,1990
2024-25 > Number of investigations commenced from notification date > 22 to 28 days,no.,Qld,na
2024-25 > Number of investigations commenced from notification date > 22 to 28 days,no.,WA,182
2024-25 > Number of investigations commenced from notification date > 22 to 28 days,no.,SA,1029
2024-25 > Number of investigations commenced from notification date > 22 to 28 days,no.,Tas,np
2024-25 > Number of investigations commenced from notification date > 22 to 28 days,no.,ACT,104
2024-25 > Number of investigations commenced from notification date > 22 to 28 days,no.,NT,63
2024-25 > Number of investigations commenced from notification date > 22 to 28 days,no.,Aust,6338
2024-25 > Number of investigations commenced from notification date > 29 days or more,no.,NSW,7081
2024-25 > Number of investigations commenced from notification date > 29 days or more,no.,Vic,1971
2024-25 > Number of investigations commenced from notification date > 29 days or more,no.,Qld,na
2024-25 > Number of investigations commenced from notification date > 29 days or more,no.,WA,881
2024-25 > Number of investigations commenced from notification date > 29 days or more,no.,SA,2425
2024-25 > Number of investigations commenced from notification date > 29 days or more,no.,Tas,np
2024-25 > Number of investigations commenced from notification date > 29 days or more,no.,ACT,195
2024-25 > Number of investigations commenced from notification date > 29 days or more,no.,NT,73
2024-25 > Number of investigations commenced from notification date > 29 days or more,no.,Aust,12626
2024-25 > Number of investigations commenced from notification date > Total,no.,NSW,50449
2024-25 > Number of investigations commenced from notification date > Total,no.,Vic,47330
2024-25 > Number of investigations commenced from notification date > Total,no.,Qld,na
2024-25 > Number of investigations commenced from notification date > Total,no.,WA,14193
2024-25 > Number of investigations commenced from notification date > Total,no.,SA,11392
2024-25 > Number of investigations commenced from notification date > Total,no.,Tas,np
2024-25 > Number of investigations commenced from notification date > Total,no.,ACT,889
2024-25 > Number of investigations commenced from notification date > Total,no.,NT,5469
2024-25 > Number of investigations commenced from notification date > Total,no.,Aust,129722
2024-25 > Proportion of investigations commenced from notification date > 7 days or fewer,%,NSW,50.1
2024-25 > Proportion of investigations commenced from notification date > 7 days or fewer,%,Vic,66.8
2024-25 > Proportion of investigations commenced from notification date > 7 days or fewer,%,Qld,na
2024-25 > Proportion of investigations commenced from notification date > 7 days or fewer,%,WA,85.4
2024-25 > Proportion of investigations commenced from notification date > 7 days or fewer,%,SA,45.8
2024-25 > Proportion of investigations commenced from notification date > 7 days or fewer,%,Tas,np
2024-25 > Proportion of investigations commenced from notification date > 7 days or fewer,%,ACT,34.3
2024-25 > Proportion of investigations commenced from notification date > 7 days or fewer,%,NT,80.5
2024-25 > Proportion of investigations commenced from notification date > 7 days or fewer,%,Aust,60.8
2024-25 > Proportion of investigations commenced from notification date > 8 to 14 days,%,NSW,19.1
2024-25 > Proportion of investigations commenced from notification date > 8 to 14 days,%,Vic,17
2024-25 > Proportion of investigations commenced from notification date > 8 to 14 days,%,Qld,na
2024-25 > Proportion of investigations commenced from notification date > 8 to 14 days,%,WA,4.5
2024-25 > Proportion of investigations commenced from notification date > 8 to 14 days,%,SA,12.7
2024-25 > Proportion of investigations commenced from notification date > 8 to 14 days,%,Tas,np
2024-25 > Proportion of investigations commenced from notification date > 8 to 14 days,%,ACT,18.3
2024-25 > Proportion of investigations commenced from notification date > 8 to 14 days,%,NT,12.6
2024-25 > Proportion of investigations commenced from notification date > 8 to 14 days,%,Aust,15.9
2024-25 > Proportion of investigations commenced from notification date > 15 to 21 days,%,NSW,10.9
2024-25 > Proportion of investigations commenced from notification date > 15 to 21 days,%,Vic,7.9
2024-25 > Proportion of investigations commenced from notification date > 15 to 21 days,%,Qld,na
2024-25 > Proportion of investigations commenced from notification date > 15 to 21 days,%,WA,2.6
2024-25 > Proportion of investigations commenced from notification date > 15 to 21 days,%,SA,11.2
2024-25 > Proportion of investigations commenced from notification date > 15 to 21 days,%,Tas,np
2024-25 > Proportion of investigations commenced from notification date > 15 to 21 days,%,ACT,13.7
2024-25 > Proportion of investigations commenced from notification date > 15 to 21 days,%,NT,4.4
2024-25 > Proportion of investigations commenced from notification date > 15 to 21 days,%,Aust,8.6
2024-25 > Proportion of investigations commenced from notification date > 22 to 28 days,%,NSW,5.9
2024-25 > Proportion of investigations commenced from notification date > 22 to 28 days,%,Vic,4.2
2024-25 > Proportion of investigations commenced from notification date > 22 to 28 days,%,Qld,na
2024-25 > Proportion of investigations commenced from notification date > 22 to 28 days,%,WA,1.3
2024-25 > Proportion of investigations commenced from notification date > 22 to 28 days,%,SA,9
2024-25 > Proportion of investigations commenced from notification date > 22 to 28 days,%,Tas,np
2024-25 > Proportion of investigations commenced from notification date > 22 to 28 days,%,ACT,11.7
2024-25 > Proportion of investigations commenced from notification date > 22 to 28 days,%,NT,1.2
