category,unit,breakdown,value
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,NSW,3649
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,Vic,2459
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,WA,1445
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,SA,999
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,Tas,205
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,ACT,111
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,NT,67
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,Aust,8935
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,NSW,3867
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,Vic,5141
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,WA,952
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,SA,1299
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,Tas,218
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,ACT,216
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,NT,10
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,Aust,11703
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Children of unknown Indigenous status,no.,NSW,7
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Children of unknown Indigenous status,no.,Vic,1
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Children of unknown Indigenous status,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Children of unknown Indigenous status,no.,WA,1
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Children of unknown Indigenous status,no.,SA,7
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Children of unknown Indigenous status,no.,Tas,4
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Children of unknown Indigenous status,no.,ACT,0
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Children of unknown Indigenous status,no.,NT,0
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Children of unknown Indigenous status,no.,Aust,20
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > All children,no.,NSW,7523
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > All children,no.,Vic,7601
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > All children,no.,Qld,na
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > All children,no.,WA,2398
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > All children,no.,SA,2305
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > All children,no.,Tas,427
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > All children,no.,ACT,327
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > All children,no.,NT,77
2025 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > All children,no.,Aust,20658
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Aboriginal and Torres Strait Islander children,%,NSW,57.7
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Aboriginal and Torres Strait Islander children,%,Vic,80.7
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Aboriginal and Torres Strait Islander children,%,Qld,na
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Aboriginal and Torres Strait Islander children,%,WA,51.1
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Aboriginal and Torres Strait Islander children,%,SA,56
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Aboriginal and Torres Strait Islander children,%,Tas,46.7
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Aboriginal and Torres Strait Islander children,%,ACT,60.7
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Aboriginal and Torres Strait Islander children,%,NT,9.1
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Aboriginal and Torres Strait Islander children,%,Aust,58.2
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Non-Indigenous children,%,NSW,53.4
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Non-Indigenous children,%,Vic,81
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Non-Indigenous children,%,Qld,na
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Non-Indigenous children,%,WA,50.5
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Non-Indigenous children,%,SA,48.4
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Non-Indigenous children,%,Tas,40.6
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Non-Indigenous children,%,ACT,50.3
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Non-Indigenous children,%,NT,11.1
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Non-Indigenous children,%,Aust,60.9
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Children of unknown Indigenous status,%,NSW,58.3
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Children of unknown Indigenous status,%,Vic,100
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Children of unknown Indigenous status,%,Qld,na
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Children of unknown Indigenous status,%,WA,33.3
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Children of unknown Indigenous status,%,SA,50
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Children of unknown Indigenous status,%,Tas,80
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Children of unknown Indigenous status,%,ACT,0
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Children of unknown Indigenous status,%,NT,0
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > Children of unknown Indigenous status,%,Aust,52.6
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > All children,%,NSW,55.4
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > All children,%,Vic,80.9
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > All children,%,Qld,na
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > All children,%,WA,50.8
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > All children,%,SA,51.4
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > All children,%,Tas,43.5
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > All children,%,ACT,53.3
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > All children,%,NT,9.3
2025 > Children in out-of-home care at 30 June > Proportion of children placed with relative/kin > All children,%,Aust,59.7
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,NSW,3637
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,Vic,2307
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,Qld,2114
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,WA,1454
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,SA,975
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,Tas,165
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,ACT,123
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,NT,23
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Aboriginal and Torres Strait Islander children,no.,Aust,10798
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,NSW,4015
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,Vic,5093
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,Qld,2113
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,WA,946
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,SA,1341
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,Tas,225
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,ACT,230
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,NT,4
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Non-Indigenous children,no.,Aust,13967
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Children of unknown Indigenous status,no.,NSW,16
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Children of unknown Indigenous status,no.,Vic,1
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Children of unknown Indigenous status,no.,Qld,1
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Children of unknown Indigenous status,no.,WA,1
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Children of unknown Indigenous status,no.,SA,3
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Children of unknown Indigenous status,no.,Tas,11
2024 > Children in out-of-home care at 30 June > Number of children placed with relative/kin > Children of unknown Indigenous status,no.,ACT,1
